source_id,family,modality,representation,task,policy,recipe,fold_id,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy,true_0,true_1,pred_0,pred_1,tn,fp,fn,tp,one_class_pred,prob1_mean,prob1_std,prob1_q05,prob1_median,prob1_q95,brier,ece_10,best_threshold,best_threshold_macro_f1,best_threshold_balanced_accuracy,best_threshold_accuracy,best_threshold_pred_0,best_threshold_pred_1,threshold_macro_f1_gain,threshold_balanced_accuracy_gain,prediction_skew_abs
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,3,352,0.5255681818181818,0.5248005941809022,0.5241818638045053,0.5085227272727273,173,179,160,192,83,90,77,102,False,,,,,,,,,,,,0,0,,,0.045454545454545414
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,4,320,0.5375,0.5251231527093596,0.5217900561412011,0.546875,175,145,203,117,115,60,88,57,False,,,,,,,,,,,,0,0,,,0.13437500000000002
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,5,320,0.478125,0.47823529411764704,0.4777118619220282,0.53125,170,150,159,161,81,89,78,72,False,,,,,,,,,,,,0,0,,,0.0031250000000000444
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,6,320,0.496875,0.5037671799966882,0.4927086718065361,0.61875,198,122,151,169,94,104,57,65,False,,,,,,,,,,,,0,0,,,0.028124999999999956
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,1,352,0.5568181818181818,0.5592237488056406,0.5550802139037433,0.5710227272727273,201,151,173,179,109,92,64,87,False,,,,,,,,,,,,0,0,,,0.008522727272727293
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,2,352,0.5198863636363636,0.5095704719908541,0.5087493290391842,0.5539772727272727,195,157,210,142,118,77,92,65,False,,,,,,,,,,,,0,0,,,0.09659090909090912
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,3,352,0.5227272727272727,0.5257855136112636,0.5084452719776567,0.5085227272727273,173,179,239,113,122,51,117,62,False,,,,,,,,,,,,0,0,,,0.1789772727272727
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,4,320,0.5,0.4908374384236453,0.4894499621076144,0.546875,175,145,191,129,103,72,88,57,False,,,,,,,,,,,,0,0,,,0.09687499999999999
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,5,320,0.4625,0.46588235294117647,0.46216385240775487,0.53125,170,150,142,178,70,100,72,78,False,,,,,,,,,,,,0,0,,,0.05625000000000002
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,6,320,0.46875,0.4574432853121378,0.4554554554554555,0.61875,198,122,172,148,100,98,72,50,False,,,,,,,,,,,,0,0,,,0.03749999999999998
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,valence,midpoint_as_high,balanced_sampler_ce,1,352,0.48863636363636365,0.5036407367137821,0.48804137039431156,0.5710227272727273,151,201,213,139,92,59,121,80,False,,,,,,,,,,,,0,0,,,0.10511363636363635
