subject_id,task,label_policy,accuracy_EEG,accuracy_EMG,error_rate_EEG,error_rate_EMG,n_EEG,n_EMG,common_failure_score,both_hard_flag,eeg_specific_hard_flag,emg_specific_hard_flag
56,arousal,discard_midpoint,0.5,0.5333333333333333,0.5,0.4666666666666667,60,60,0.23333333333333334,False,False,False
29,arousal,discard_midpoint,0.4838709677419355,0.5483870967741935,0.5161290322580645,0.45161290322580644,62,62,0.2330905306971904,False,False,False
57,arousal,midpoint_as_low,0.609375,0.40625,0.390625,0.59375,64,64,0.23193359375,False,False,True
25,valence,midpoint_as_high,0.5572916666666666,0.4791666666666667,0.4427083333333333,0.5208333333333334,192,192,0.23057725694444445,False,False,False
65,valence,midpoint_as_low,0.640625,0.359375,0.359375,0.640625,64,64,0.230224609375,False,False,True
33,valence,midpoint_as_high,0.6197916666666666,0.3958333333333333,0.3802083333333333,0.6041666666666666,192,192,0.22970920138888887,False,False,True
43,valence,discard_midpoint,0.5714285714285714,0.4642857142857143,0.42857142857142855,0.5357142857142857,56,56,0.22959183673469385,False,False,False
54,arousal,midpoint_as_high,0.5416666666666666,0.5,0.4583333333333333,0.5,192,192,0.22916666666666666,False,False,False
18,valence,discard_midpoint,0.48,0.56,0.52,0.44,50,50,0.2288,False,False,False
47,arousal,discard_midpoint,0.46153846153846156,0.5769230769230769,0.5384615384615384,0.4230769230769231,52,52,0.22781065088757396,False,False,False
13,valence,midpoint_as_low,0.515625,0.53125,0.484375,0.46875,64,64,0.22705078125,False,False,False
44,valence,midpoint_as_low,0.53125,0.515625,0.46875,0.484375,64,64,0.22705078125,False,False,False
56,arousal,midpoint_as_low,0.53125,0.515625,0.46875,0.484375,64,64,0.22705078125,False,False,False
6,valence,midpoint_as_high,0.515625,0.53125,0.484375,0.46875,192,192,0.22705078125,False,False,False
37,valence,discard_midpoint,0.6190476190476191,0.40476190476190477,0.38095238095238093,0.5952380952380952,42,42,0.22675736961451246,False,False,True
45,arousal,midpoint_as_low,0.546875,0.5,0.453125,0.5,64,64,0.2265625,False,False,False
47,valence,midpoint_as_high,0.5,0.546875,0.5,0.453125,192,192,0.2265625,False,False,False
35,arousal,midpoint_as_low,0.609375,0.421875,0.390625,0.578125,64,64,0.225830078125,False,False,True
27,valence,discard_midpoint,0.5483870967741935,0.5,0.45161290322580644,0.5,62,62,0.22580645161290322,False,False,False
52,arousal,discard_midpoint,0.5517241379310345,0.5,0.4482758620689655,0.5,58,58,0.22413793103448276,False,False,False
46,valence,midpoint_as_high,0.5520833333333334,0.5,0.4479166666666667,0.5,192,192,0.22395833333333334,False,False,False
56,arousal,midpoint_as_high,0.484375,0.5677083333333334,0.515625,0.4322916666666667,192,192,0.222900390625,False,False,False
44,arousal,midpoint_as_high,0.5677083333333334,0.484375,0.4322916666666667,0.515625,192,192,0.222900390625,False,False,False
54,arousal,midpoint_as_low,0.625,0.40625,0.375,0.59375,64,64,0.22265625,False,False,True
34,valence,midpoint_as_high,0.59375,0.453125,0.40625,0.546875,192,192,0.22216796875,False,False,False
48,arousal,midpoint_as_high,0.5364583333333334,0.5208333333333334,0.4635416666666667,0.4791666666666667,192,192,0.2221137152777778,False,False,False
47,arousal,midpoint_as_low,0.515625,0.546875,0.484375,0.453125,64,64,0.219482421875,False,False,False
17,arousal,midpoint_as_low,0.515625,0.546875,0.484375,0.453125,64,64,0.219482421875,False,False,False
24,arousal,midpoint_as_high,0.5052083333333334,0.5572916666666666,0.4947916666666667,0.4427083333333333,192,192,0.2190483940972222,False,False,False
14,valence,midpoint_as_high,0.5677083333333334,0.4947916666666667,0.4322916666666667,0.5052083333333334,192,192,0.21839735243055558,False,False,False
30,valence,midpoint_as_low,0.578125,0.484375,0.421875,0.515625,64,64,0.217529296875,False,False,False
37,arousal,midpoint_as_low,0.484375,0.578125,0.515625,0.421875,64,64,0.217529296875,False,False,False
16,valence,midpoint_as_high,0.5364583333333334,0.53125,0.4635416666666667,0.46875,192,192,0.21728515625,False,False,False
26,arousal,midpoint_as_high,0.6145833333333334,0.4375,0.3854166666666667,0.5625,192,192,0.216796875,False,False,True
27,arousal,discard_midpoint,0.5172413793103449,0.5517241379310345,0.4827586206896552,0.4482758620689655,58,58,0.21640903686087992,False,False,False
