candidate_id,modality,task,fold,run_macro_f1,run_bal_acc,run_acc,pos_cov,n_predictions,prediction_accuracy,n_subjects,mean_subject_accuracy,std_subject_accuracy,min_subject_accuracy,hard_subject_count
A6_vrex_only_recheck,EMG,arousal,2,0.543631033486106,0.5440633676302467,0.5539772727272727,0.0,352,0.5539772727272727,11,0.5539772727272727,0.08159890122923337,0.46875,0
A6_vrex_only_recheck,EMG,arousal,3,0.4854948594079029,0.4998708302386411,0.4971590909090909,0.0,352,0.4971590909090909,11,0.4971590909090909,0.0808337238353579,0.375,2
A6_vrex_only_recheck,EMG,arousal,4,0.5006123819683141,0.5006896551724138,0.50625,0.0,320,0.50625,10,0.50625,0.10602508874999561,0.34375,3
A6_vrex_only_recheck,EMG,arousal,5,0.5281203918007011,0.53,0.528125,0.0,320,0.528125,10,0.528125,0.09484316366741696,0.34375,2
A6_vrex_only_recheck,EMG,arousal,6,0.4841876475420917,0.4843103162775294,0.515625,0.0,320,0.515625,10,0.515625,0.10232751408535677,0.40625,4
A5_cross_subject_supcon_vrex,EEG,valence,1,0.5082576984718759,0.5129814503640737,0.5369318181818182,1.0,352,0.5369318181818182,11,0.5369318181818182,0.08707282088208486,0.40625,3
A5_cross_subject_supcon_vrex,EEG,valence,2,0.492845786963434,0.492845786963434,0.5056818181818182,1.0,352,0.5056818181818182,11,0.5056818181818182,0.09356041436613903,0.34375,2
A5_cross_subject_supcon_vrex,EEG,valence,3,0.4671976558769011,0.4768747268999361,0.46875,1.0,352,0.46875,11,0.46875,0.09374999999999999,0.34375,5
A5_cross_subject_supcon_vrex,EEG,valence,4,0.5238095238095238,0.5263157894736843,0.53125,1.0,320,0.53125,10,0.53125,0.10206207261596575,0.375,2
A5_cross_subject_supcon_vrex,EEG,valence,5,0.5097603162836669,0.5198513227293492,0.515625,1.0,320,0.515625,10,0.515625,0.12258960724937312,0.3125,3
A5_cross_subject_supcon_vrex,EEG,valence,6,0.5530364372469636,0.5560862162049919,0.56875,1.0,320,0.56875,10,0.56875,0.0843685697138191,0.40625,1
