source_group,source_name,modality,variant,task,label_policy,recipe,level,fold_id,n,default_macro_f1,default_balanced_accuracy,default_accuracy,default_pred_0,default_pred_1,best_threshold,best_macro_f1,best_balanced_accuracy,best_accuracy,best_pred_0,best_pred_1,threshold_one_class,macro_f1_gain,balanced_accuracy_gain
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,balanced_sampler_ce,fold,1,352,0.4645088201974429,0.4829165431122533,0.4659090909090909,133,219,0.79,0.5006586280271557,0.5030147276860729,0.5227272727272727,225,127,False,0.03614980782971278,0.020098184573819622
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,balanced_sampler_ce,fold,2,352,0.5136610134364962,0.5239588437040666,0.5454545454545454,247,105,0.13,0.5482626417530975,0.555691654417769,0.5482954545454546,154,198,False,0.034601628316601296,0.031732810713702375
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,balanced_sampler_ce,fold,3,352,0.501077383146942,0.5065876578293022,0.5085227272727273,136,216,0.48000000000000004,0.5086543830262423,0.5149675460974585,0.5170454545454546,133,219,False,0.007576999879300383,0.008379888268156388
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,balanced_sampler_ce,fold,4,320,0.49582694600579114,0.5150738916256158,0.5375,237,83,0.21000000000000002,0.531357409713574,0.5321182266009852,0.540625,190,130,False,0.0355304637077829,0.01704433497536939
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,balanced_sampler_ce,fold,5,320,0.5027316529676794,0.5068627450980392,0.503125,141,179,0.7000000000000001,0.521496496251918,0.5221568627450981,0.521875,159,161,False,0.018764843284238553,0.015294117647058902
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,balanced_sampler_ce,fold,6,320,0.5398655984975202,0.5627173373075012,0.540625,135,185,0.93,0.5801644782455654,0.5792763702599768,0.615625,215,105,False,0.040298879748045136,0.016559032952475627
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,ce_class_weighted,fold,1,352,0.5170994610485056,0.5178412572897104,0.5227272727272727,189,163,0.38,0.5249201923465471,0.5310368686369478,0.5255681818181818,164,188,False,0.007820731298041506,0.013195611347237346
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,ce_class_weighted,fold,2,352,0.5172930180123335,0.5212314225053079,0.5369318181818182,228,124,0.5,0.5172930180123335,0.5212314225053079,0.5369318181818182,228,124,False,0.0,0.0
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,ce_class_weighted,fold,3,352,0.494609787555058,0.4960926147188943,0.4971590909090909,154,198,0.2,0.5054474479022067,0.5222817838344044,0.5255681818181818,108,244,False,0.010837660347148725,0.026189169115510058
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,ce_class_weighted,fold,4,320,0.49248997107939174,0.5037438423645321,0.521875,222,98,0.26,0.5357526133789101,0.5361576354679802,0.54375,187,133,False,0.04326264229951837,0.03241379310344816
broader_eval_primary,idare_broader_eval_eeg_stim_bsl_only_primary_predictions.csv,EEG,stim_bsl_only,arousal,midpoint_as_high,ce_class_weighted,fold,5,320,0.46751085677178456,0.47725490196078435,0.4875,212,108,0.35000000000000003,0.5110361892368813,0.5115686274509803,0.515625,181,139,False,0.04352533246509677,0.034313725490195957
