source_id,family,modality,representation,task,policy,recipe,subject_id,n,accuracy,balanced_accuracy,macro_f1,majority_accuracy,true_0,true_1,pred_0,pred_1,tn,fp,fn,tp,one_class_pred,prob1_mean,prob1_std,prob1_q05,prob1_median,prob1_q95,brier,ece_10,best_threshold,best_threshold_macro_f1,best_threshold_balanced_accuracy,best_threshold_accuracy,best_threshold_pred_0,best_threshold_pred_1,threshold_macro_f1_gain,threshold_balanced_accuracy_gain,prediction_skew_abs
broader_eeg_stim_bsl_only,broader_primary,EEG,STIM-BSL-only,valence,midpoint_as_high,balanced_sampler_ce,23,32,0.25,0.26666666666666666,0.25,0.625,12,20,20,12,4,8,16,4,False,0.4418852028611582,0.3342363380190374,0.04526408612728114,0.3970735371112823,0.9253603249788285,0.4970833668180464,0.5544367919501383,0.072205513715744,0.45893719806763283,0.48333333333333334,0.5625,6,26,0.20893719806763283,0.21666666666666667,0.125
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,midpoint_as_low,ce_class_weighted,12,32,0.25,0.30917874396135264,0.25,0.71875,23,9,9,23,4,19,5,4,False,0.653639628610108,0.29711021740455174,0.05131783895194526,0.7057341933250427,0.9753845989704132,0.49777169917882474,0.5483664878993295,0.95,0.46907993966817496,0.4903381642512077,0.65625,28,4,0.21907993966817496,0.18115942028985504,0.21875
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,discard_midpoint,ce_class_weighted,19,27,0.3333333333333333,0.5,0.25,0.6666666666666666,9,18,27,0,9,0,18,0,True,0.05103136971592899,0.06687742385036985,0.00936805764213202,0.0257806945592165,0.12683920934796328,0.6065866434887934,0.6156352969507376,0.0158649533987045,0.4166666666666667,0.4166666666666667,0.48148148148148145,9,18,0.16666666666666669,-0.08333333333333331,0.5
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,34,32,0.34375,0.4583333333333333,0.2558139534883721,0.625,20,12,1,31,0,20,1,11,False,,,,,,,,,,,,0,0,,,0.46875
broader_eeg_bsl_stats,broader_primary,EEG,STIM-BSL-plus-BSL-stats,valence,midpoint_as_high,ce_class_weighted,23,32,0.34375,0.4583333333333333,0.2558139534883721,0.625,12,20,31,1,11,1,20,0,False,,,,,,,,,,,,0,0,,,0.46875
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,5,32,0.34375,0.4583333333333333,0.2558139534883721,0.625,12,20,31,1,11,1,20,0,False,,,,,,,,,,,,0,0,,,0.46875
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,ce_class_weighted,16,32,0.34375,0.5,0.2558139534883721,0.65625,21,11,0,32,0,21,0,11,True,,,,,,,,,,,,0,0,,,0.5
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,discard_midpoint,ce_class_weighted,39,31,0.25806451612903225,0.31313131313131315,0.2580645161290322,0.7096774193548387,22,9,9,22,4,18,5,4,False,0.6985962628236702,0.3732837187170779,0.0576490964740514,0.9359341859817504,0.9775162935256958,0.618987428597389,0.6552004576810906,0.9842809438705444,0.523076923076923,0.5555555555555556,0.7419354838709677,30,1,0.2650124069478908,0.24242424242424243,0.20967741935483875
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,discard_midpoint,ce_class_weighted,33,24,0.2916666666666667,0.275,0.2595281306715064,0.8333333333333334,20,4,9,15,6,14,3,1,False,0.602366898364077,0.3271354765326125,0.06501201875507828,0.607815146446228,0.9815617740154265,0.49283510923743495,0.5106162886756161,0.8649999999999999,0.4444444444444445,0.45,0.5833333333333334,16,8,0.1849163137729381,0.175,0.125
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,discard_midpoint,balanced_sampler_ce,11,24,0.2916666666666667,0.27622377622377625,0.2595281306715064,0.5416666666666666,11,13,8,16,1,10,7,6,False,0.5222069124380747,0.09032876384942572,0.3876755118370056,0.5361135601997375,0.6314256936311722,0.30652608104301377,0.28769647081693017,0.625,0.36969696969696975,0.493006993006993,0.4583333333333333,22,2,0.11016883902546337,0.21678321678321677,0.16666666666666663
label_emg_mainline,label_policy_ablation,EMG,feature-only,arousal,discard_midpoint,ce_class_weighted,11,24,0.2916666666666667,0.27622377622377625,0.2595281306715064,0.5416666666666666,11,13,8,16,1,10,7,6,False,0.5243623703718185,0.09410395836344909,0.36660126894712447,0.5411205887794495,0.6490806818008422,0.3043395508725874,0.2914233009020487,0.625,0.36969696969696975,0.493006993006993,0.4583333333333333,22,2,0.11016883902546337,0.21678321678321677,0.16666666666666663
label_emg_mainline,label_policy_ablation,EMG,feature-only,valence,discard_midpoint,balanced_sampler_ce,30,30,0.3,0.33710407239819007,0.25969447708578147,0.5666666666666667,13,17,24,6,8,5,16,1,False,0.4802631994088491,0.02422941858201524,0.452365730702877,0.4745618551969528,0.5223135709762573,0.25767073215154773,0.22839060823122664,0.463848203420639,0.6411483253588517,0.6425339366515836,0.6666666666666666,9,21,0.3814538482730702,0.3054298642533936,0.3
label_emg_mainline,label_policy_ablation,EMG,feature-only,valence,discard_midpoint,balanced_sampler_ce,57,27,0.2962962962962963,0.4166666666666667,0.25974025974025977,0.6666666666666666,9,18,24,3,7,2,17,1,False,0.47399480144182843,0.02383931749110365,0.4442554920911788,0.4711552560329437,0.508067512512207,0.2636499667766172,0.23461843088821133,0.4540361166000366,0.5440900562851783,0.5555555555555556,0.6666666666666666,4,23,0.2843497965449185,0.1388888888888889,0.3888888888888889
label_eeg_mainline,label_policy_ablation,EEG,STIM-BSL-only,arousal,midpoint_as_low,ce_class_weighted,1,32,0.28125,0.2583333333333333,0.2632632632632632,0.625,20,12,17,15,7,13,10,2,False,0.46152542205527425,0.20692678564104708,0.19158098027110096,0.44769930839538574,0.7828553795814515,0.36281808877625876,0.4055846887640655,0.32499999999999996,0.4056695992179863,0.44166666666666665,0.40625,11,21,0.14240633595472307,0.18333333333333335,0.03125
broader_emg_bsl_stats,broader_primary,EMG,feature-plus-BSL-stats,arousal,midpoint_as_high,balanced_sampler_ce,22,32,0.28125,0.32186234817813764,0.26326326326326327,0.59375,19,13,8,24,2,17,6,7,False,,,,,,,,,,,,0,0,,,0.25
