subject_id,modality,task,label_policy,n,correct,errors,accuracy,error_rate,n_sources,n_recipes,n_folds,variants,recipes,hard_subject_flag
36,EEG,arousal,midpoint_as_high,192,86,106,0.4479166666666667,0.5520833333333333,3,2,1,"bsl_stats,mainline_label_policy_ablation,stim_bsl_only","balanced_sampler_ce,ce_class_weighted",True
36,EMG,arousal,midpoint_as_high,192,86,106,0.4479166666666667,0.5520833333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
60,EMG,arousal,midpoint_as_high,192,86,106,0.4479166666666667,0.5520833333333333,3,2,1,"bsl_stats,feature_only,mainline_label_policy_ablation","balanced_sampler_ce,ce_class_weighted",True
2,EMG,arousal,discard_midpoint,58,26,32,0.4482758620689655,0.5517241379310345,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
8,EEG,arousal,discard_midpoint,58,26,32,0.4482758620689655,0.5517241379310345,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
34,EMG,arousal,discard_midpoint,58,26,32,0.4482758620689655,0.5517241379310345,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
26,EMG,arousal,discard_midpoint,60,27,33,0.45,0.55,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
40,EEG,valence,discard_midpoint,60,27,33,0.45,0.55,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
46,EMG,arousal,discard_midpoint,60,27,33,0.45,0.55,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
61,EEG,valence,discard_midpoint,60,27,33,0.45,0.55,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
37,EMG,arousal,discard_midpoint,40,18,22,0.45,0.55,1,2,1,mainline_label_policy_ablation,"balanced_sampler_ce,ce_class_weighted",True
