target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_std,pred_dev_std
arousal,physio_eeg_bandpower_ridge,55,32,2.1610631376492604,2.396165052403032,0.7998318880106312,0.6946868687724026,0.37022020603651246,1.2338804388999771,1.710027385518749,2.1610631376492604,2.396165052403032,-0.11007990149958857,-0.11363636363636363,0.6875,0.9986088789050975,0.1838031676617537
arousal,physio_eeg_bandpower_ridge,56,32,1.3138607173833072,1.6200451476603568,0.8600574544165677,0.8271190398133171,0.7272103438941719,2.4762544169571914,1.642606970744652,1.3138607173833072,1.6200451476603568,0.053007940432950415,0.07863623898850063,0.46875,1.3444179697621401,0.24739899336546056
arousal,physio_eeg_bandpower_ridge,57,32,1.8310663574271024,2.162909905057337,0.3585517712818231,0.3438708145887377,0.34217006195987815,2.1485369295173866,1.579357845647061,1.8310663574271024,2.162909905057337,0.05796026744769651,0.0784457478005865,0.46875,2.1643328274237774,0.21833460644479016
arousal,physio_eeg_bandpower_ridge,58,32,1.2451876975212206,1.5100007783746305,0.8976616038472234,0.8323017346175267,0.7592752481135536,2.3416657399167797,1.7106662611901806,1.2451876975212206,1.5100007783746305,0.2278267994024991,0.22983870967741934,0.6875,1.1332636003495442,0.23742838476101977
arousal,physio_eeg_bandpower_ridge,59,32,1.810532298855606,2.39249829067616,0.6288831745051158,0.6058220772079617,0.43846332408872346,2.1648379702647493,1.6414703774744874,1.810532298855606,2.3924982906761603,-0.13616447924746766,-0.01979472140762463,0.3125,1.6408958852975946,0.2950624940697128
arousal,physio_eeg_bandpower_ridge,60,32,2.188482981226949,2.466976940239433,0.8369320461897157,0.8580894220357951,0.5639823055713069,3.201409601644251,1.4690281173921396,2.188482981226949,2.466976940239433,-0.0980439048225639,-0.06781524926686217,0.40625,2.0713483906629713,0.33143403745545874
arousal,physio_eeg_bandpower_ridge,61,32,1.4257902015142263,1.671283933692188,0.8826178718988892,0.8761355048244805,0.74994645500786,2.9040650388722358,1.634137762074062,1.4257902015142263,1.671283933692188,-0.006420517858030749,0.01502932551319648,0.71875,1.641778371653087,0.1669339331730281
arousal,physio_eeg_bandpower_ridge,62,32,1.9371692028707632,2.3353278994325986,0.7671214731067967,0.6692045476982021,0.5923665291434889,3.1017887984193897,1.6653673712473251,1.9371692028707632,2.3353278994325986,-0.10303997707282653,-0.273302173267726,0.40625,2.058781133828381,0.31288868519314994
arousal,physio_eeg_bandpower_ridge,63,32,1.6593277774238817,2.10764398833391,0.8009812662602088,0.7712219314120056,0.6606185959266726,3.1867339765816665,1.6937881710382445,1.6593277774238817,2.10764398833391,0.3054320941039183,0.34970674486803516,0.6875,2.1644511428246234,0.3011622465220499
arousal,physio_eeg_bandpower_ridge,64,32,1.1800741697470234,1.44688572663153,0.790888014640807,0.787930028220907,0.7417279860384354,2.3310070248714396,1.6305991408020744,1.1800741697470232,1.44688572663153,0.31030492022682804,0.28958944281524923,0.59375,1.5037030977647274,0.27473880696545805
arousal,physio_eeg_bandpower_ridge,65,32,1.5489453833017337,1.7680079672972715,0.8878613661490962,0.8295951127826973,0.7538795779230196,3.0744346533143294,1.753809192308559,1.5489453833017337,1.7680079672972715,0.17116933496304734,0.09971588347259754,0.71875,1.7398221083540357,0.42050166690005303
arousal,physio_eeg_cov_riemannian_ridge,1,32,1.5667164752714637,1.8665507056705257,0.6863594064499895,0.7004850454353763,0.6346072266776223,2.4348944407304396,1.8103515590348527,1.5667164752714637,1.866550705670526,0.31911612716752297,0.2938319139826725,0.53125,1.8730758315387523,0.5346003115927692
arousal,physio_eeg_cov_riemannian_ridge,2,32,2.3390386430744536,2.82138283394742,0.6453799618280389,0.6912974355501257,0.3913524995735233,2.3048861143232218,1.7204076470488852,2.3390386430744536,2.82138283394742,-0.2608063250823692,-0.21847507331378296,0.59375,1.5829340702617387,0.4920097717554839
arousal,physio_eeg_cov_riemannian_ridge,3,32,1.2516839590051783,1.6980118944878742,0.5049564391648466,0.5337472375420319,0.4365592154805689,1.5194057226429023,1.4558568304833994,1.604808755058762,1.9504765622720501,-0.02360363454793541,-0.08724340175953077,0.8125,1.353914241378173,0.7245029444902813
