target,k_calibration,model,subject_id,n,rmse,mae,pearson,stimulus_rmse_reference,lift_vs_stimulus_rmse
arousal,1,affine_residual_ridge4,15,3100,2.3807699785952647,1.8862122788761706,0.45872601928615186,1.6938257292355796,-0.6869442493596851
arousal,1,affine_residual_ridge4,16,3100,2.0115910635518928,1.614016649323621,0.626458938494016,1.3910532712483397,-0.6205377923035531
arousal,1,affine_residual_ridge4,17,3100,1.8793377313517727,1.5469406867845992,0.6515188350614595,1.4416503138897858,-0.4376874174619869
arousal,1,affine_residual_ridge4,18,3100,2.9545577048993317,2.444443288241415,0.43897039003501137,2.21719647061755,-0.7373612342817815
arousal,1,affine_residual_ridge4,19,3100,2.133530116248659,1.7591467221644124,0.48236865705882315,1.8626231483537017,-0.2709069678949574
arousal,1,affine_residual_ridge4,20,3100,1.7844718830265938,1.4396357960457857,0.6466075778134143,1.6130495771271098,-0.17142230589948393
arousal,1,affine_residual_ridge4,21,3100,2.3250016287297632,1.8731529656607702,0.5863857041269678,1.6329214554313187,-0.6920801732984445
arousal,1,affine_residual_ridge4,22,3100,3.1235527883190746,2.5441415192507804,0.41854273457845215,2.202083897582975,-0.9214688907360995
arousal,1,affine_residual_ridge4,23,3100,1.777097613799489,1.4486784599375648,0.642074995760325,1.443695078554646,-0.33340253524484287
arousal,1,affine_residual_ridge4,24,3100,2.1120914947890976,1.7380645161290322,0.6434900174383583,1.483350302265328,-0.6287411925237696
arousal,1,affine_residual_ridge4,25,3100,3.068343795012098,2.445109261186264,0.42361216125320966,2.19371307608492,-0.874630718927178
arousal,1,affine_residual_ridge4,26,3100,2.5976713957322297,2.052872008324662,0.4344312165517196,2.0938782130130726,-0.5037931827191571
arousal,1,affine_residual_ridge4,27,3100,1.9765051112426244,1.558251821019771,0.5074506536778175,1.5343919639179293,-0.4421131473246951
arousal,1,affine_residual_ridge4,28,3100,1.864888577241321,1.4944953173777316,0.6530222559564521,1.7390846039345451,-0.12580397330677595
arousal,1,affine_residual_ridge4,29,3100,1.9347071802690399,1.5253069719042665,0.5783614499419302,1.4279308242549333,-0.5067763560141065
arousal,1,affine_residual_ridge4,30,3100,1.3481333997503882,1.0842559833506762,0.7721683351380416,0.9581044568556806,-0.3900289428947076
arousal,1,affine_residual_ridge4,31,3100,3.1403006278537484,2.590270551508845,0.453352571711592,2.3458865444933155,-0.794414083360433
arousal,1,affine_residual_ridge4,32,3100,1.84085025189293,1.4985431841831425,0.5902249357355854,1.2892234197172474,-0.5516268321756825
arousal,1,affine_residual_ridge4,33,3100,2.2331838708595932,1.832570239334027,0.39001895634008493,1.7054230389951592,-0.527760831864434
arousal,1,affine_residual_ridge4,34,3100,1.8968711705478756,1.5136524453694067,0.6474043839754102,1.3683700982763407,-0.5285010722715349
arousal,1,affine_residual_ridge4,35,3100,2.2975216253926147,1.8304890738813735,0.37540978057047286,1.5467741121680882,-0.7507475132245265
arousal,1,affine_residual_ridge4,36,3100,2.144969673712111,1.7620499479708636,0.600664957543283,1.6148863978444437,-0.5300832758676675
arousal,1,affine_residual_ridge4,37,3100,2.1238559642688,1.73,0.3688704344055545,1.581884800272114,-0.5419711639966862
arousal,1,affine_residual_ridge4,38,3100,2.0943203443303293,1.7059417273673259,0.5162724848755921,1.3941493626471329,-0.7001709816831965
arousal,1,affine_residual_ridge4,39,3100,2.9524068804680788,2.4100832466181066,0.45055956848375744,2.0360080114622368,-0.916398869005842
arousal,1,affine_residual_ridge4,40,3100,3.769863708088622,3.1032049947970863,0.2312390433257974,2.9225330088254142,-0.8473306992632077
arousal,1,affine_residual_ridge4,41,3100,2.131887885615142,1.7224973985431842,0.31854173349011705,2.4769273833782357,0.3450394977630937
arousal,1,affine_residual_ridge4,42,3100,2.570525554172092,2.0879396462018733,0.4297551042123261,2.639645527075555,0.06911997290346283
arousal,1,affine_residual_ridge4,43,3100,2.6000891128930683,2.1310613943808536,0.5568925559465767,1.806454237585428,-0.7936348753076403
arousal,1,affine_residual_ridge4,44,3100,3.286904148415353,2.5413839750260143,0.29096958816744456,2.468600079992588,-0.8183040684227652
arousal,1,affine_residual_ridge4,45,3100,2.172634933236615,1.6877315296566073,0.4281576708606077,1.518412305328114,-0.654222627908501
arousal,1,affine_residual_ridge4,46,3100,2.623202233282507,2.096514047866805,0.26471017137711084,1.9374061084144147,-0.6857961248680924
arousal,1,affine_residual_ridge4,47,3100,3.4313298252683473,2.7997918834547346,0.2803791635476865,2.4425728091705046,-0.9887570160978427
