target,subject_id,k_calibration,repeat,model,eval_n,calibration_n,calibration_stimuli,tau2_train_subject_residual,sigma2_train_within_residual,fold_rmse,fold_mae,fold_pearson
valence,1,1,5,bias_huber,31,1,Tumor_1,0.13735170717592593,1.5977360488290984,2.91067364479275,2.6958525345622117,0.9016929648158676
valence,1,1,5,bias_trimmed_mean,31,1,Tumor_1,0.13735170717592593,1.5977360488290984,2.91067364479275,2.6958525345622117,0.9016929648158676
valence,1,1,5,affine_residual_ridge1,31,1,Tumor_1,0.13735170717592593,1.5977360488290984,2.91067364479275,2.6958525345622117,0.9016929648158676
valence,1,1,5,affine_residual_ridge4,31,1,Tumor_1,0.13735170717592593,1.5977360488290984,2.91067364479275,2.6958525345622117,0.9016929648158676
valence,1,1,5,kernel_residual_shrink4,31,1,Tumor_1,0.13735170717592593,1.5977360488290984,1.3466020186438608,1.0750447696295162,0.9091919130947126
valence,1,1,6,stimulus_only,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.283664520702996,1.0737327188940093,0.8857025134710108
valence,1,1,6,bias_mean,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,6,bias_shrink1,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.420020491465422,1.1474654377880185,0.8857025134710109
valence,1,1,6,bias_shrink2,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.36946330428719,1.119815668202765,0.8857025134710109
valence,1,1,6,bias_shrink4,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.3325420078800432,1.0995391705069124,0.8857025134710111
valence,1,1,6,bias_shrink8,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.3098131536538091,1.0880696364567333,0.8857025134710109
valence,1,1,6,bias_empirical_bayes,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.3020308214902883,1.0839470731043876,0.8857025134710109
valence,1,1,6,bias_median,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,6,bias_huber,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,6,bias_trimmed_mean,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,6,affine_residual_ridge1,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,6,affine_residual_ridge4,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.5963668427946605,1.2949308755760365,0.8857025134710111
valence,1,1,6,kernel_residual_shrink4,31,1,Yarn_1,0.13735170717592593,1.5977360488290984,1.3298510585984311,1.088351050399243,0.8851531924441562
valence,1,1,7,stimulus_only,31,1,9220,0.13735170717592593,1.5977360488290984,1.2751744126792266,1.0599078341013826,0.8883716337975374
valence,1,1,7,bias_mean,31,1,9220,0.13735170717592593,1.5977360488290984,1.9126755729260358,1.5990783410138247,0.8883716337975374
valence,1,1,7,bias_shrink1,31,1,9220,0.13735170717592593,1.5977360488290984,1.5466734674810567,1.2373271889400923,0.8883716337975374
