scope,test_subject,task,eeg_accuracy,stimulus_accuracy,delta_accuracy_eeg_minus_stimulus,eeg_balanced_accuracy,stimulus_balanced_accuracy,delta_balanced_accuracy_eeg_minus_stimulus,eeg_macro_f1,stimulus_macro_f1,delta_macro_f1_eeg_minus_stimulus,eeg_weighted_f1,stimulus_weighted_f1,delta_weighted_f1_eeg_minus_stimulus,eeg_mcc,stimulus_mcc,delta_mcc_eeg_minus_stimulus,eeg_cohen_kappa,stimulus_cohen_kappa,delta_cohen_kappa_eeg_minus_stimulus,eeg_auroc,stimulus_auroc,delta_auroc_eeg_minus_stimulus,eeg_average_precision,stimulus_average_precision,delta_average_precision_eeg_minus_stimulus,eeg_accuracy_lift_vs_majority,stimulus_accuracy_lift_vs_majority,delta_accuracy_lift_vs_majority_eeg_minus_stimulus,eeg_dimension_hamming_accuracy,stimulus_dimension_hamming_accuracy,delta_dimension_hamming_accuracy_eeg_minus_stimulus,eeg_both_dimensions_correct_rate,stimulus_both_dimensions_correct_rate,delta_both_dimensions_correct_rate_eeg_minus_stimulus,eeg_neither_dimension_correct_rate,stimulus_neither_dimension_correct_rate,delta_neither_dimension_correct_rate_eeg_minus_stimulus
subject,32.0,valence_high_low,0.84375,0.84375,0.0,0.875,0.875,0.0,0.8423645320197044,0.8423645320197044,0.0,0.8460591133004927,0.8460591133004927,0.0,0.7276068751089989,0.7276068751089989,0.0,0.6923076923076923,0.6923076923076923,0.0,0.9249999999999999,0.9291666666666667,-0.004166666666666763,0.8152158027158027,0.7879009879009878,0.027314814814814903,0.21875,0.21875,0.0,,,,,,,,,
subject,33.0,valence_high_low,0.8125,0.8125,0.0,0.8299595141700404,0.8299595141700404,0.0,0.8117647058823529,0.8117647058823529,0.0,0.8139705882352941,0.8139705882352941,0.0,0.6494848686351458,0.6494848686351458,0.0,0.6293436293436294,0.6293436293436294,0.0,0.9635627530364372,0.9757085020242916,-0.012145748987854366,0.9647788109326572,0.9727153188691648,-0.007936507936507686,0.21875,0.21875,0.0,,,,,,,,,
subject,34.0,valence_high_low,0.78125,0.78125,0.0,0.8409090909090908,0.8409090909090908,0.0,0.7757757757757757,0.7757757757757757,0.0,0.7889139139139139,0.7889139139139139,0.0,0.6333004963811235,0.6333004963811235,0.0,0.5725190839694656,0.5725190839694656,0.0,0.9636363636363636,0.9727272727272728,-0.00909090909090915,0.9283119658119658,0.9290262515262514,-0.0007142857142855563,0.09375,0.09375,0.0,,,,,,,,,
subject,35.0,valence_high_low,0.875,0.875,0.0,0.8947368421052632,0.8947368421052632,0.0,0.8745098039215686,0.8745098039215686,0.0,0.8759803921568627,0.8759803921568627,0.0,0.7769911005144381,0.7769911005144381,0.0,0.752895752895753,0.752895752895753,0.0,0.979757085020243,0.979757085020243,0.0,0.9674927636466099,0.9674927636466095,3.3306690738754696e-16,0.28125,0.28125,0.0,,,,,,,,,
subject,36.0,valence_high_low,0.875,0.875,0.0,0.8947368421052632,0.8947368421052632,0.0,0.8745098039215686,0.8745098039215686,0.0,0.8759803921568627,0.8759803921568627,0.0,0.7769911005144381,0.7769911005144381,0.0,0.752895752895753,0.752895752895753,0.0,0.9757085020242915,0.9878542510121457,-0.012145748987854255,0.9627308588847051,0.9838264299802761,-0.02109557109557103,0.28125,0.28125,0.0,,,,,,,,,
subject,37.0,valence_high_low,0.75,0.75,0.0,0.8260869565217391,0.8260869565217391,0.0,0.7408906882591093,0.7408906882591093,0.0,0.7621457489878543,0.7621457489878543,0.0,0.5875955600576714,0.5875955600576714,0.0,0.5133079847908746,0.5133079847908746,0.0,0.9710144927536232,0.963768115942029,0.007246376811594124,0.9435897435897436,0.9138278388278389,0.029761904761904656,0.03125,0.03125,0.0,,,,,,,,,
subject,38.0,valence_high_low,0.8125,0.75,0.0625,0.8354978354978355,0.7878787878787878,0.04761904761904767,0.8056680161943319,0.746031746031746,0.05963627016258588,0.8170546558704452,0.7559523809523809,0.0611022749180643,0.6386392673039035,0.5479936938801236,0.09064557342377988,0.6175298804780877,0.5095785440613028,0.1079513364167849,0.9307359307359309,0.8917748917748918,0.038961038961039085,0.8846060505151415,0.8319368696162954,0.05266918089884609,0.15625,0.09375,0.0625,,,,,,,,,
subject,39.0,valence_high_low,0.9375,0.9375,0.0,0.9411764705882353,0.9411764705882353,0.0,0.9375,0.9375,0.0,0.9375,0.9375,0.0,0.8823529411764706,0.8823529411764706,0.0,0.8754863813229572,0.8754863813229572,0.0,0.9686274509803922,0.9686274509803922,0.0,0.9623172579054932,0.962317257905493,1.1102230246251565e-16,0.40625,0.40625,0.0,,,,,,,,,
subject,40.0,valence_high_low,0.875,0.875,0.0,0.8784313725490196,0.8784313725490196,0.0,0.875,0.875,0.0,0.875,0.875,0.0,0.7568627450980392,0.7568627450980392,0.0,0.7509727626459144,0.7509727626459144,0.0,0.9529411764705882,0.9568627450980391,-0.0039215686274509665,0.9500623559447089,0.956122962005315,-0.0060606060606061,0.34375,0.34375,0.0,,,,,,,,,
subject,41.0,valence_high_low,0.8125,0.8125,0.0,0.8571428571428572,0.8571428571428572,0.0,0.8095238095238095,0.8095238095238095,0.0,0.8169642857142857,0.8169642857142857,0.0,0.6798418006783489,0.6798418006783489,0.0,0.632183908045977,0.632183908045977,0.0,0.9350649350649352,0.9567099567099567,-0.021645021645021578,0.8221962381053292,0.9118010777101686,-0.08960483960483945,0.15625,0.15625,0.0,,,,,,,,,
