target,k_calibration,model,locked_reference_model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,16,bias_shrink8,bias_shrink4,63,36,27,0,9,0.011005713776370179,-0.001744765628070244,0.17510260943928824,-0.015447138421942341
arousal,16,bias_trimmed_mean,bias_shrink4,63,12,51,0,-39,0.02028632233628002,0.023886240285561744,0.0670921319864699,-0.0891678899238566
arousal,16,kernel_residual_shrink4,bias_shrink4,63,47,16,0,31,-0.076916128845504,-0.06468440078744409,0.17731897739494396,-0.5249109696509144
arousal,16,stimulus_only,bias_shrink4,63,25,38,0,-13,0.19603142966232123,0.055683046905093736,1.7715622904524229,-0.07441902004297019
valence,0,stimulus_only,stimulus_only,63,0,0,63,0,0.0,0.0,0.0,0.0
valence,1,affine_residual_ridge1,bias_shrink4,63,0,63,0,-63,0.4450367753871093,0.41923752902103906,0.8466999689530972,0.23827332142395385
valence,1,affine_residual_ridge4,bias_shrink4,63,0,63,0,-63,0.4450367753871093,0.41923752902103906,0.8466999689530972,0.23827332142395385
valence,1,bias_empirical_bayes,bias_shrink4,63,51,12,0,39,-0.011357710842130695,-0.015790768731403615,0.04340829317581396,-0.03506241134106447
valence,1,bias_huber,bias_shrink4,63,0,63,0,-63,0.4450367753871093,0.41923752902103906,0.8466999689530972,0.23827332142395385
valence,1,bias_mean,bias_shrink4,63,0,63,0,-63,0.4450367753871093,0.41923752902103906,0.8466999689530972,0.23827332142395385
valence,1,bias_median,bias_shrink4,63,0,63,0,-63,0.4450367753871093,0.41923752902103906,0.8466999689530972,0.23827332142395385
valence,1,bias_shrink1,bias_shrink4,63,0,63,0,-63,0.10185619125939437,0.10309457659507903,0.21687904030888094,0.004980190486028047
valence,1,bias_shrink2,bias_shrink4,63,4,59,0,-55,0.0332888223146744,0.03489053641766837,0.07664633223443906,-0.01826417001706182
valence,1,bias_shrink4,bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0
valence,1,bias_shrink8,bias_shrink4,63,52,11,0,41,-0.010663338952805938,-0.014063410390353415,0.0311362326036011,-0.03125044307876346
valence,1,bias_trimmed_mean,bias_shrink4,63,0,63,0,-63,0.4450367753871093,0.41923752902103906,0.8466999689530972,0.23827332142395385
valence,1,kernel_residual_shrink4,bias_shrink4,63,49,14,0,35,-0.012124389356253118,-0.008785718324872072,0.011552043491841912,-0.05866431547917483
valence,1,stimulus_only,bias_shrink4,63,47,16,0,31,-0.010596093210753594,-0.01921467400375021,0.09004239462880026,-0.04648253276530956
valence,2,affine_residual_ridge1,bias_shrink4,63,0,63,0,-63,0.5680600476037975,0.5334316633623468,1.1610658453518403,0.009108713839169447
valence,2,affine_residual_ridge4,bias_shrink4,63,1,62,0,-61,0.2877757605580377,0.26671205011334,0.701846658786307,-0.000627631814898999
valence,2,bias_empirical_bayes,bias_shrink4,63,50,13,0,37,-0.01319654782053505,-0.020329764307422282,0.07406181107638354,-0.05347932576903336
valence,2,bias_huber,bias_shrink4,63,0,63,0,-63,0.21402325426444366,0.2161817822768315,0.46104841405546804,0.025461171060906063
valence,2,bias_mean,bias_shrink4,63,0,63,0,-63,0.21402325426444366,0.2161817822768315,0.46104841405546804,0.025461171060906063
valence,2,bias_median,bias_shrink4,63,0,63,0,-63,0.21402325426444366,0.2161817822768315,0.46104841405546804,0.025461171060906063
valence,2,bias_shrink1,bias_shrink4,63,3,60,0,-57,0.07803742571277279,0.07812126219067572,0.18997420488416594,-0.027017668405535766
valence,2,bias_shrink2,bias_shrink4,63,4,59,0,-55,0.030978299335944027,0.03265048694810013,0.08314991770788183,-0.03241577424948572
valence,2,bias_shrink4,bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0
valence,2,bias_shrink8,bias_shrink4,63,53,10,0,43,-0.01246112437757127,-0.017668244816502643,0.05190512279775539,-0.04728605158822541
valence,2,bias_trimmed_mean,bias_shrink4,63,0,63,0,-63,0.21402325426444366,0.2161817822768315,0.46104841405546804,0.025461171060906063
valence,2,kernel_residual_shrink4,bias_shrink4,63,50,13,0,37,-0.028237636012397732,-0.018236555053999348,0.037074050980114626,-0.15519557673360618
valence,2,stimulus_only,bias_shrink4,63,44,19,0,25,-0.010022271688709497,-0.02783209085313798,0.1682245016636239,-0.08307731826495157
valence,4,affine_residual_ridge1,bias_shrink4,63,5,58,0,-53,0.23685686785007187,0.25217083445402255,0.6558631700557387,-0.6042490400998357
valence,4,affine_residual_ridge4,bias_shrink4,63,11,52,0,-41,0.11443642626276147,0.1413820958790124,0.3861941085944838,-0.5608372705789614
valence,4,bias_empirical_bayes,bias_shrink4,63,50,13,0,37,-0.012976311808292826,-0.019335472722455727,0.07902275887054366,-0.038840920646919797
valence,4,bias_huber,bias_shrink4,63,1,62,0,-61,0.11377324639277549,0.10796230246802763,0.21697098340104626,-0.003523252370274621
valence,4,bias_mean,bias_shrink4,63,1,62,0,-61,0.09403178334698442,0.10123326563926716,0.15041620094171826,-0.019247771603485786
valence,4,bias_median,bias_shrink4,63,1,62,0,-61,0.12485959165166406,0.1163026793757933,0.24789562812281418,-0.002667028935270155
valence,4,bias_shrink1,bias_shrink4,63,2,61,0,-59,0.046546269540683624,0.05030611934033824,0.08178283886172921,-0.03755318798799179
valence,4,bias_shrink2,bias_shrink4,63,4,59,0,-55,0.02204169995532286,0.023906709629144762,0.04211029138208189,-0.030400166962456288
valence,4,bias_shrink4,bias_shrink4,63,0,0,63,0,0.0,0.0,0.0,0.0
valence,4,bias_shrink8,bias_shrink4,63,51,12,0,39,-0.012133207611296508,-0.016671592475054453,0.05296136340787028,-0.03318359545577132
valence,4,bias_trimmed_mean,bias_shrink4,63,1,62,0,-61,0.09403178334698442,0.10123326563926716,0.15041620094171826,-0.019247771603485786
valence,4,kernel_residual_shrink4,bias_shrink4,63,46,17,0,29,-0.04765374044558774,-0.023197909772880054,0.047037840126664454,-0.30418313944877007
valence,4,stimulus_only,bias_shrink4,63,42,21,0,21,-0.0062706075601296025,-0.0274235248157928,0.21782040529589208,-0.07061659833312661
valence,8,affine_residual_ridge1,bias_shrink4,63,23,40,0,-17,-0.005933681806394073,0.04422112779549625,0.23866331830619436,-0.7704515210410006
valence,8,affine_residual_ridge4,bias_shrink4,63,25,38,0,-13,-0.019907550007989144,0.026109790655630905,0.19597808420556473,-0.753199351720148
valence,8,bias_empirical_bayes,bias_shrink4,63,52,11,0,41,-0.009082062196118222,-0.013463367032691353,0.06349864507834058,-0.03624238020751158
valence,8,bias_huber,bias_shrink4,63,2,61,0,-59,0.0457074503022166,0.04285049267759833,0.12427279087147602,-0.021357022441321094
valence,8,bias_mean,bias_shrink4,63,1,62,0,-61,0.035911095977707114,0.03568359948773492,0.07687606800463587,-0.004193904574828267
valence,8,bias_median,bias_shrink4,63,2,61,0,-59,0.06841144893996282,0.0582290008335824,0.1981642371702519,-0.027202384042417815
valence,8,bias_shrink1,bias_shrink4,63,2,61,0,-59,0.021176599335922166,0.022053096228219715,0.048847248486142636,-0.011687889268189311
