test_subject,eeg_rmse,eeg_mae,eeg_balanced_accuracy,eeg_auroc,eeg_dev_rmse,eeg_dev_pearson,eeg_dev_sign_acc,eeg_true_dev_std,eeg_pred_dev_std,eeg_std_ratio_pred_over_true,eeg_mean_abs_true_dev,eeg_mean_abs_pred_dev,eeg_lift_vs_stimulus_rmse,eeg_lift_vs_stimulus_mae,eeg_lift_vs_stimulus_balanced_accuracy,eeg_lift_vs_stimulus_auroc,eeg_lift_vs_stimulus_dev_rmse,stimulus_rmse,stimulus_mae,stimulus_balanced_accuracy,stimulus_auroc,eeg_better_rmse_than_stimulus,eeg_better_mae_than_stimulus,eeg_better_auroc_than_stimulus,eeg_better_ba_than_stimulus,eeg_positive_dev_pearson,failure_score
12,1.4469887840194147,1.1973394422910384,0.8236714975845411,0.927536231884058,1.4469887840194147,-0.011416962969232473,0.3125,1.2274284576871455,0.1326607951448318,0.10808026676739893,1.0922379032258065,0.23964845427991982,-0.11682330351892878,-0.1051015390652319,0.0,-0.007246376811594235,-0.11682330351892878,1.3301654805004859,1.0922379032258065,0.8236714975845411,0.9347826086956522,False,False,False,False,False,0.12824026648816125
13,2.5000306957716427,2.1540823740961086,0.6875,,2.5000306957716427,-0.054980566295684354,0.25,1.4088788982214433,0.1384914828528087,0.09829906816514952,2.081149193548387,0.1337068634036479,-0.0827853116332431,-0.07293318054772158,0.0,,-0.08278531163324354,2.4172453841383996,2.081149193548387,0.6875,,False,False,False,False,False,0.13776587792892744
14,1.5556950500457907,1.3636695567640231,0.8666666666666667,0.9166666666666666,1.5556950500457907,0.04542680152898638,0.875,0.8494495885699882,0.20066580986592394,0.2362303926752145,1.610383064516129,0.3105642992930113,0.2409621354360698,0.24671350775210588,0.0,-0.01666666666666672,0.2409621354360698,1.7966571854818605,1.610383064516129,0.8666666666666667,0.9333333333333333,True,True,False,False,True,-0.2409621354360698
15,1.7036616810230985,1.4577588145545284,0.7090909090909091,0.7772727272727272,1.7036616810230985,-0.08909641177925204,0.3125,1.6186477056527646,0.08935269344362047,0.05520206350740868,1.4349798387096775,0.07113480504859507,-0.008503555891772763,-0.02277897584485089,0.0,-0.00454545454545463,-0.008503555891772763,1.6951581251313257,1.4349798387096775,0.7090909090909091,0.7818181818181819,False,False,False,False,False,0.0975999676710248
16,1.3625050536053003,1.0742309470894686,0.9009661835748792,0.9371980676328503,1.3625050536053003,0.1184455641792114,0.625,1.371204820434612,0.1871981753875531,0.13652094318635996,1.1154233870967742,0.22363830659635026,0.031213317337194457,0.0411924400073056,0.0,0.0,0.031213317337194457,1.3937183709424947,1.1154233870967742,0.9009661835748792,0.9371980676328503,True,True,False,False,True,-0.031213317337194457
17,2.1189025925116183,1.78065285102258,0.8400000000000001,0.9771428571428571,2.1189025925116183,0.19298312983278185,0.25,1.3129056407007988,0.5992040409393705,0.45639535878532195,1.1703629032258065,1.0572911854573572,-0.6758949446454652,-0.6102899477967736,-0.09999999999999987,-0.005714285714285783,-0.6758949446454652,1.443007647866153,1.1703629032258065,0.94,0.9828571428571429,False,False,False,False,True,0.6758949446454652
18,2.2427139350775325,1.8889385118327287,0.8125,0.8203125,2.2427139350775325,0.020936482228323065,0.5,2.1200614760696554,0.12163449792663239,0.05737309945939448,1.862399193548387,0.11172603254221143,-0.02826807065175574,-0.02653931828434164,0.0,0.00390625,-0.02826807065175574,2.2144458644257767,1.862399193548387,0.8125,0.81640625,False,False,True,False,True,0.02826807065175574
19,1.9465656578330282,1.552643211478539,0.7142857142857143,0.8888888888888888,1.9465656578330282,0.3221795960830828,0.28125,1.4699453361764527,0.0820105480824473,0.05579156317180691,1.478326612903226,0.15590245381642368,-0.08164957239561477,-0.07431659857531292,0.0,-0.001984126984127088,-0.08164957239561477,1.8649160854374134,1.478326612903226,0.7142857142857143,0.8908730158730159,False,False,False,False,True,0.08164957239561477
20,1.6713952389362499,1.2896326732951358,0.7777777777777778,0.873015873015873,1.6713952389362499,-0.1036080210646184,0.25,1.2400897101370107,0.10004026385302162,0.08067179578636133,1.2222782258064515,0.10411918379695548,-0.06528808500586925,-0.06735444748868424,0.0,-0.007936507936507908,-0.06528808500586925,1.6061071539303806,1.2222782258064515,0.7777777777777778,0.8809523809523809,False,False,False,False,False,0.16889610607048766
21,1.708501977060225,1.3902061416417033,0.9782608695652174,0.9806763285024155,1.708501977060225,-0.014697373823059036,0.53125,1.631799589761145,0.43356778903427445,0.2656991653598052,1.277217741935484,0.38199095208786427,-0.07629889880750684,-0.11298839970621932,0.0,-0.009661835748792202,-0.07629889880750707,1.6322030782527182,1.277217741935484,0.9782608695652174,0.9903381642512077,False,False,False,False,False,0.09099627263056588
