target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_stimulus_accuracy,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc
arousal,8,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,9600,0.7277083333333333,0.7295239453882827,0.7247092774895466,0.8243157550911077,5562,4038,0.420625,0.475,0.11843749999999997,0.12721633692435352,0.12319067578726084,0.21951001177415774
arousal,8,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,9600,0.72875,0.7300003964414856,0.728746986077623,0.8282688513142731,4612,4988,0.5195833333333333,0.47708333333333336,0.11656250000000001,0.11592027283520356,0.11678807073957187,0.18118199637499466
arousal,8,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,8650,0.7528323699421965,0.7520936188602036,0.7519079944981546,0.8503070032436862,4612,4038,0.4668208092485549,0.4721387283236994,0.12497109826589592,0.12855206415032905,0.12831392781071393,0.21155170180767524
arousal,16,stimulus_only,midpoint_as_low,6400,0.61140625,0.6057860408821947,0.6047097769138917,0.6091195463190655,3696,2704,0.4225,0.44734375,0.0,0.0,0.0,0.0
arousal,16,stimulus_only,midpoint_as_high,6400,0.6190625,0.6206962662988722,0.6189767697731989,0.6535456955326662,3070,3330,0.5203125,0.4646875,0.0,0.0,0.0,0.0
arousal,16,stimulus_only,discard_midpoint,5774,0.6323172843782473,0.6285743885280342,0.6286860023624001,0.6448494689975521,3070,2704,0.4683062002078282,0.4328022168340838,0.0,0.0,0.0,0.0
arousal,16,stimulus_plus_fewshot_bias,midpoint_as_low,6400,0.7740625,0.773463715771408,0.7705486679604379,0.8639430481377597,3696,2704,0.4225,0.45375,0.16265624999999995,0.16767767488921337,0.16583889104654614,0.2548235018186942
arousal,16,stimulus_plus_fewshot_bias,midpoint_as_high,6400,0.7596875,0.7619352251274075,0.7595446356995699,0.8534584910643542,3070,3330,0.5203125,0.4553125,0.140625,0.14123895882853532,0.14056786592637094,0.19991279553168806
arousal,16,stimulus_plus_fewshot_bias,discard_midpoint,5774,0.795981988223069,0.7944094163791608,0.7948227972122476,0.8842974818341268,3070,2704,0.4683062002078282,0.456529269137513,0.16366470384482168,0.1658350278511267,0.16613679484984745,0.2394480128365747
arousal,16,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,6400,0.75234375,0.753865525500141,0.7494737998963962,0.8498783368074233,3696,2704,0.4225,0.47046875,0.14093749999999994,0.1480794846179463,0.14476402298250446,0.2407587904883578
arousal,16,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,6400,0.7459375,0.7474630982774305,0.7459243744134829,0.8462121078733457,3070,3330,0.5203125,0.4725,0.12687500000000007,0.12676683197855831,0.12694760464028398,0.1926664123406795
arousal,16,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,5774,0.7760651195012124,0.7753270579958753,0.775234522649185,0.8732629184896787,3070,2704,0.4683062002078282,0.4709040526498095,0.14374783512296507,0.14675266946784116,0.1465485202867849,0.2284134494921266
valence,0,stimulus_only,midpoint_as_low,256,0.8828125,0.8891625615763546,0.8827838827838828,0.9423029556650246,140,116,0.453125,0.53125,0.0,0.0,0.0,0.0
valence,0,stimulus_only,midpoint_as_high,256,0.9296875,0.9314306893995552,0.9291643608190371,0.9696071163825055,114,142,0.5546875,0.53125,0.0,0.0,0.0,0.0
valence,0,stimulus_only,discard_midpoint,230,0.9521739130434783,0.9521324863883847,0.9521657748955399,0.9779189352692075,114,116,0.5043478260869565,0.508695652173913,0.0,0.0,0.0,0.0
valence,0,stimulus_plus_fewshot_bias,midpoint_as_low,256,0.8828125,0.8891625615763546,0.8827838827838828,0.9423029556650246,140,116,0.453125,0.53125,0.0,0.0,0.0,0.0
valence,0,stimulus_plus_fewshot_bias,midpoint_as_high,256,0.9296875,0.9314306893995552,0.9291643608190371,0.9696071163825055,114,142,0.5546875,0.53125,0.0,0.0,0.0,0.0
