split,fold_id,test_subject,n_high,zero_rmse_high,model_rmse_high,improvement_zero_minus_model,pearson_high,sign_acc_high
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,19,4,3.893536649130749,3.999844822546985,-0.10630817341623633,0.384028380663938,0.25
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,20,4,3.8356853495862886,3.96792458819444,-0.13223923860815123,-0.600675937037712,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,21,2,2.6673759670929176,2.6778888286802234,-0.0105128615873058,-1.0,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,22,7,2.997904643503044,2.972212480849207,0.025692162653836892,-0.31977385348551485,0.7142857142857143
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,23,2,3.6266710845350407,3.827710072845451,-0.20103898831041045,1.0,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,24,3,4.045105455454691,4.213261937695523,-0.1681564822408319,0.21098625586131098,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,25,2,2.830496856343501,2.6681860327166986,0.1623108236268025,-1.0,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,26,4,2.574919220499923,2.4250660098504473,0.14985321064947588,0.6312410828933773,0.75
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,27,3,3.2637086271783224,3.44939626954579,-0.18568764236746738,-0.14760700447819253,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,28,6,3.1430709681981295,3.073211982787134,0.06985898541099544,-0.7364331480854823,0.8333333333333334
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,29,3,2.552716140466702,2.6452755968141903,-0.0925594563474883,-0.99926681232753,0.3333333333333333
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,30,2,3.5080965156105224,3.6371996081975797,-0.12910309258705732,1.0,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,31,7,3.443770954816927,3.516774589208394,-0.07300363439146684,-0.20695233526825563,0.2857142857142857
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,32,1,3.362549800796813,3.716542948408431,-0.35399314761161804,,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,33,4,2.497130194417358,2.3838413145193234,0.11328887989803471,-0.014120559745037025,0.75
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,34,4,3.048731054123288,3.1144114310503053,-0.06568037692701711,-0.36263925114980394,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,35,2,2.962831514180201,2.9392895931221346,0.023541921058066517,1.0,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,36,3,2.4347048170113696,2.505553150680585,-0.07084833366921517,-0.032396760259421176,0.3333333333333333
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,37,2,3.23570448699396,3.41738811373719,-0.18168362674323024,1.0,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,38,3,2.7634136311282904,2.8068814803284035,-0.04346784920011304,0.9963869934876172,0.3333333333333333
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,39,4,3.233502003115633,3.0666545093234716,0.16684749379216157,0.78744513839258,0.75
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,40,5,4.126049820492111,4.347052109716986,-0.22100228922487553,0.13738032225061625,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,41,3,4.252158593264576,4.1222416348223,0.12991695844227547,-0.31454550677855886,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,42,6,4.331467946315415,4.478707524176935,-0.14723957786151942,0.4132403305068893,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,44,6,3.783536710439229,3.771612268636237,0.011924441802992014,-0.022539970002305044,0.6666666666666666
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,45,2,2.4350994109633874,2.4826388762366904,-0.047539465273302994,-0.9999999999999998,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,46,6,2.770019793101052,2.785125369554363,-0.01510557645331101,-0.37199446690039584,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,47,6,3.0979512276282755,3.1305329997523517,-0.0325817721240762,0.103293482155077,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,48,3,2.837860574054485,2.939864971396514,-0.10200439734202904,-0.32572943236928303,0.3333333333333333
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,49,4,3.038948993324362,2.8720862819664075,0.16686271135795439,0.9933565598380871,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,50,2,2.7895858231279576,2.83373060181811,-0.04414477869015254,-0.9999999999999999,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,52,3,2.9088850359149188,2.8867486821267914,0.022136353788127394,-0.6095624243439902,0.6666666666666666
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,53,2,3.0218276519447316,3.05336190766041,-0.03153425571567858,-1.0,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,54,3,2.531561824924973,2.6391195921121597,-0.10755776718718657,-0.30761197773994237,0.3333333333333333
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,55,6,2.781795478734704,2.5579018720348556,0.22389360669984848,0.24143686985458948,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,56,5,3.072361968815221,3.2676988856715674,-0.19533691685634658,-0.04113955798531102,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,57,3,2.6719216434345268,2.598672727979942,0.07324891545458456,0.6535451643592531,0.6666666666666666
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,58,4,2.5696442899044345,2.3944040571949015,0.17524023270953304,-0.7579080025289093,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,59,5,3.847920515752326,4.02971706197265,-0.18179654622032393,0.47996070034242694,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,60,5,4.213945212686245,4.354962012893835,-0.14101680020758955,0.11187234419859901,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,61,5,3.4027711991780842,3.3676226093882797,0.03514858978980451,-0.5423947261746562,0.8
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,62,4,3.093520351367606,3.0207118051644635,0.07280854620314248,0.32380442080710203,0.75
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,63,4,2.9435928879106315,2.950735747159787,-0.007142859249155364,0.4011494866697845,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,64,3,3.051801199091339,3.11743540164017,-0.06563420254883079,0.7207149639935543,0.3333333333333333
within_subject_trial_kfold_subjects_overlap,within_subject_fold_1,65,6,3.4074954316324857,3.341232024347199,0.06626340728528657,0.5068039579814005,0.8333333333333334
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,1,2,2.553913753640694,2.5842850811377236,-0.030371327497029643,-1.0,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,2,6,3.7257855386243723,3.88855466444569,-0.16276912582131775,0.5355326091308502,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,3,3,3.209735885335358,2.97650740701375,0.2332284783216081,-0.9999925481121352,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,5,3,3.077279036487942,3.16732930291766,-0.09005026642971803,-0.7422727058946426,0.3333333333333333
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,6,8,4.343145708352848,4.533868144274781,-0.1907224359219324,-0.33950084007375214,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,7,3,2.7307177614141827,2.5153055298964766,0.21541223151770605,-0.41948546807471215,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,8,8,2.9122268977379058,2.8195660269464695,0.09266087079143626,0.10161578869220717,0.75
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,9,4,2.7605490767754803,2.9246122690670284,-0.1640631922915481,-0.6018182765709301,0.25
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,10,3,2.966313593276289,2.7745467190495914,0.19176687422669758,0.39061009675360037,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,11,4,3.0384730295119735,3.1008580079078083,-0.06238497839583479,0.7343618833922557,0.25
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,13,3,3.3614009480655067,3.1502543245732215,0.2111466234922852,0.459832835105529,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,14,4,3.056506246102742,2.9495100564954706,0.10699618960727131,0.38265153892334863,0.75
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,15,3,2.691330185396776,2.6443606195561853,0.046969565840590644,-0.9759187356797259,0.6666666666666666
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,16,5,3.5680634121759547,3.5389144827246044,0.02914892945135028,0.5135523379499709,0.6
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,17,4,3.1281079019916103,3.0855273632376075,0.042580538754002806,-0.39729674966616335,0.75
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,18,4,2.6609157110712673,2.5581748442073544,0.10274086686391293,0.30958174103299646,0.75
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,19,5,3.1166630885344646,3.3107152240219926,-0.19405213548752798,-0.7373318204257506,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,20,5,3.161552568899458,3.3614563305516465,-0.19990376165218837,0.8350952194324154,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,21,5,4.269031040209311,4.36598968109216,-0.09695864088284978,0.7103878263382893,0.2
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,22,5,3.9607125537265193,3.946502471111724,0.014210082614795283,-0.234503098687038,0.6
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,23,3,3.69293094518896,3.9125659073908343,-0.21963496220187428,-0.981819197617993,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,24,2,2.4773769786237367,2.473018387002272,0.004358591621464569,1.0,0.5
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,25,5,3.655109883853447,3.673323644169632,-0.01821376031618538,-0.6507275256828086,0.6
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,26,6,2.6580430088325016,2.3737768855663868,0.2842661232661148,0.44906119720149856,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,27,4,3.1648505109260863,3.24537033447123,-0.08051982354514386,-0.09572741373893967,0.25
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,28,3,2.6305506195283925,2.4074863161855657,0.2230643033428268,0.9375349866374251,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,29,3,3.0038512399214143,2.933611598686782,0.07023964123463244,0.8333085070597053,0.6666666666666666
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,31,6,3.0606479220735467,3.1617526005962406,-0.10110467852269389,-0.5859043120146972,0.3333333333333333
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,32,1,2.5,2.2335477769374847,0.26645222306251526,,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,33,2,2.9140656815358543,2.709789022077095,0.20427665945875928,1.0,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,34,1,2.8137651821862346,2.585116996456254,0.22864818572998047,,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,35,1,4.861111111111111,5.054925329155392,-0.193814218044281,,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,36,4,3.0153037887845655,3.1630092661013998,-0.14770547731683425,-0.9018118871922929,0.25
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,38,3,3.3355044593629986,3.3491507035959294,-0.013646244232930815,0.8353062917364256,0.3333333333333333
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,39,8,3.1754285712837804,3.1582225644686743,0.01720600681510609,0.1726827405986133,0.625
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,40,5,3.8275611099336384,3.940253767756817,-0.11269265782317861,-0.3475852083046802,0.4
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,41,2,3.2412785172818457,3.053285325074372,0.18799319220747357,-1.0,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,42,4,3.5096986003388513,3.6987880096095758,-0.18908940927072448,-0.9121159719529492,0.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,43,7,3.6067360167421283,3.5652909531148254,0.041445063627302936,0.5516564387525413,0.7142857142857143
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,44,2,3.0041131090562025,2.771320335707297,0.2327927733489057,-1.0,1.0
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,45,4,2.9133838209146155,2.993350898461927,-0.07996707754731158,0.4891587501135435,0.25
within_subject_trial_kfold_subjects_overlap,within_subject_fold_2,46,4,3.2744450710419826,3.429207925041517,-0.1547628539995345,0.5191342741888718,0.0
