target,k_calibration,model,locked_reference_model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
valence,8,kernel_residual_shrink4,bias_shrink4,8,2,6,0,-4,-0.037120877579758335,0.005794954336203917,0.02152324265954464,-0.2464341310890904
valence,8,stimulus_only,bias_shrink4,8,5,3,0,2,-0.00853182994916632,-0.025023474566279846,0.07797037709882382,-0.039845190787217044
valence,16,affine_residual_ridge1,bias_shrink4,8,2,6,0,-4,-0.01206734666958946,0.049163270995374764,0.07237988329269762,-0.30948926836808077
valence,16,affine_residual_ridge4,bias_shrink4,8,2,6,0,-4,-0.014028888651962654,0.04741559173797327,0.06978811392745987,-0.31012891299048817
valence,16,bias_empirical_bayes,bias_shrink4,8,6,2,0,4,-0.005943977918392407,-0.007699064849229886,0.001241172055359785,-0.012345577463105828
valence,16,bias_huber,bias_shrink4,8,2,6,0,-4,0.012075107434540211,0.016992504411746046,0.03055135087145988,-0.021913819033583914
valence,16,bias_mean,bias_shrink4,8,0,8,0,-8,0.01275752127437732,0.01138985421102734,0.026504250977855692,0.0023054094092251898
valence,16,bias_median,bias_shrink4,8,3,5,0,-2,0.019095565330524644,0.01983832903106697,0.0763878450790918,-0.02221138621819585
valence,16,bias_shrink1,bias_shrink4,8,0,8,0,-8,0.00843694653448343,0.007834238047981223,0.017015123464195314,0.0012261423960697737
valence,16,bias_shrink2,bias_shrink4,8,0,8,0,-8,0.004991741444058145,0.0048170003899752345,0.009753616077579297,0.0005472683568661374
valence,16,bias_shrink4,bias_shrink4,8,0,0,8,0,0.0,0.0,0.0,0.0
valence,16,bias_shrink8,bias_shrink4,8,7,1,0,6,-0.0054170712327176185,-0.006479711359162366,0.0006129640426588701,-0.010164264256281363
valence,16,bias_trimmed_mean,bias_shrink4,8,2,6,0,-4,0.012175202608482982,0.01775626064207736,0.03163400056001153,-0.024542150001789276
valence,16,kernel_residual_shrink4,bias_shrink4,8,3,5,0,-2,-0.03942540557293833,0.022545811618088996,0.05696158179781774,-0.2893578261762615
valence,16,stimulus_only,bias_shrink4,8,4,4,0,0,0.004842598223450706,0.00469554801016947,0.06256267275663574,-0.04966798933792527
