target,model,n,mae,rmse,pearson,spearman,ccc,balanced_accuracy,macro_f1,auroc,dev_rmse,dev_mae,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std,experiment,table,experiment_description,is_stimulus_only,is_residual_model,is_direct_model,is_augmented,subset
valence,emg_residual_extratrees,504,1.05674038617662,1.3270170560622754,0.3249070312616529,0.3472147923096672,0.200543672222802,0.5064441033080855,0.4024877120354765,0.7296513099073871,1.3270170560622754,1.05674038617662,-0.0114729078917485,-0.0269667600827064,0.5138888888888888,0.0845686827288698,0.0021753844326988,-0.0039476894256791,-0.0069752934928076,0.080509727938259,-0.0020104394050108,0.0026737967914438,0.0056533277863451,0.0444002091803168,0.0021753844326988,-0.0039476894256791,,,0.5138888888888888,0.0845686827288698,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,False,True,False,False,top25_train_entropy
valence,stimulus_only,504,1.0547875064004095,1.2971505530737022,0.7377818837811864,0.6314972032763382,0.7031681563849894,0.7380944881889764,0.7193987115246958,0.8359370078740157,1.2971505530737022,1.0547875064004095,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,True,False,False,False,top25_train_score_std
valence,emg_direct_extratrees,504,1.574702439277163,2.035542309407918,-0.0689243571182518,-0.0822363756037075,-0.0074459710586499,0.4750393700787401,0.3794817779650306,0.4668661417322834,2.035542309407918,1.574702439277163,-0.0157330620276379,-0.0074008541155593,0.5178571428571429,1.4127705304388165,-0.5199149328767532,-0.7383917563342157,-0.8067062408994382,-0.7137335788800457,-0.7106141274436394,-0.2630551181102362,-0.3399169335596652,-0.3690708661417322,-0.5199149328767532,-0.7383917563342157,,,0.5178571428571429,1.4127705304388165,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,False,False,True,False,top25_train_score_std
valence,emg_residual_extratrees,504,1.056820756825425,1.3048206727012712,0.7340878817567358,0.6724076687844456,0.6998937825584816,0.7380944881889764,0.7193987115246958,0.8549133858267717,1.3048206727012712,1.056820756825425,-0.0543631154728155,-0.0420006208612987,0.5198412698412699,0.0873340362993176,-0.0020332504250153,-0.007670119627569,-0.0036940020244505,0.0409104655081073,-0.0032743738265078,0.0,0.0,0.0189763779527559,-0.0020332504250153,-0.007670119627569,,,0.5198412698412699,0.0873340362993176,04c_nonlinear_22feat,subset,22-feature EMG ExtraTrees nonlinear probe,False,True,False,False,top25_train_score_std
arousal,stimulus_only,2016,1.5799251152073732,1.944204982116596,0.6343754946304894,0.5984999661777204,0.5793812998802726,0.7686230248306998,0.7739110736354597,0.816073636699185,1.944204982116596,1.5799251152073732,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04e_expanded_812feat,main,812-feature expanded EMG Ridge and ExtraTrees probe,True,False,False,False,
arousal,emg_expanded_ridge_direct,2016,2.2302396563288656,2.599870490422729,0.0486631903104386,0.0516906070295029,0.0279427845836508,0.5222809283008205,0.5062023641034132,0.5290474610168637,2.599870490422729,2.2302396563288656,0.0327444626739402,-0.0148650602482668,0.4424603174603174,1.7909149395340134,-0.6503145411214923,-0.6556655083061333,-0.5857123043200507,-0.5468093591482174,-0.5514385152966218,-0.2463420965298792,-0.2677087095320465,-0.2870261756823212,-0.6503145411214923,-0.6556655083061333,,,0.4424603174603174,1.7909149395340134,04e_expanded_812feat,main,812-feature expanded EMG Ridge and ExtraTrees probe,False,False,True,False,
arousal,emg_expanded_ridge_residual,2016,1.635928412461511,2.0254897136371697,0.6013448272687199,0.5855364332444125,0.5659673699527366,0.766020680749554,0.7668599117418016,0.811623036878589,2.0254897136371697,1.635928412461511,0.0322812095572026,0.0401923629263414,0.5208333333333334,0.6342562313819026,-0.0560032972541377,-0.0812847315205738,-0.0330306673617695,-0.0129635329333078,-0.013413929927536,-0.0026023440811457,-0.0070511618936581,-0.0044505998205959,-0.0560032972541377,-0.0812847315205738,,,0.5208333333333334,0.6342562313819026,04e_expanded_812feat,main,812-feature expanded EMG Ridge and ExtraTrees probe,False,True,False,False,
arousal,emg_expanded_extratrees_direct,2016,2.204839035840093,2.5514072674681345,-0.0317577679752905,-0.0254072862340248,-0.0088817952097239,0.5062117821785431,0.4399779657682471,0.4920149875742451,2.5514072674681345,2.204839035840093,0.0056661400729949,-0.0454800247908358,0.4305555555555556,1.663139968117221,-0.6249139206327197,-0.6072022853515386,-0.6661332626057799,-0.6239072524117453,-0.5882630950899966,-0.2624112426521566,-0.3339331078672126,-0.3240586491249398,-0.6249139206327197,-0.6072022853515386,,,0.4305555555555556,1.663139968117221,04e_expanded_812feat,main,812-feature expanded EMG Ridge and ExtraTrees probe,False,False,True,False,
arousal,emg_expanded_extratrees_residual,2016,1.6009714293256567,1.9721542819077305,0.6216233297410015,0.5989993379025338,0.5717185704716419,0.7696038325431014,0.7735335335335335,0.8169914668086127,1.9721542819077305,1.6009714293256567,-0.0322992829529712,-0.0309167232547676,0.5,0.2739513093034497,-0.0210463141182835,-0.0279492997911345,-0.0127521648894878,0.0004993717248134,-0.0076627294086307,0.0009808077124016,-0.0003775401019262,0.0009178301094276,-0.0210463141182835,-0.0279492997911345,,,0.5,0.2739513093034497,04e_expanded_812feat,main,812-feature expanded EMG Ridge and ExtraTrees probe,False,True,False,False,
valence,stimulus_only,2016,1.02206541218638,1.257773694673858,0.8663072234664694,0.8413570547514742,0.8580903005604849,0.8795593635250918,0.8658039779535107,0.943285935194,1.257773694673858,1.02206541218638,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,04e_expanded_812feat,main,812-feature expanded EMG Ridge and ExtraTrees probe,True,False,False,False,
