target,block,k_calibration,model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
valence,eeg_entropy_complexity,4,physio_context_ridge1000,63,12,51,0,-39,0.2382435359804924,0.25157019073630904,0.9284741371205367,-0.38064274795638253
valence,eeg_entropy_complexity,4,physio_residual_ridge100,63,12,51,0,-39,0.10918442423017488,0.07209445786168411,0.4923947289943802,-0.10813415826486517
valence,eeg_entropy_complexity,4,physio_residual_ridge1000,63,17,46,0,-29,0.0616125410852973,0.042335775028234934,0.34341866638388674,-0.09653260835755417
valence,eeg_entropy_complexity,4,physio_similarity_knn64,63,19,44,0,-25,0.054456242480702514,0.05272519775538642,0.41065231673230107,-0.06404955541432256
valence,eeg_entropy_complexity,8,physio_context_ridge100,63,9,54,0,-45,0.14044688470434935,0.09706406316454808,0.5634482328119197,-0.15012072505446672
valence,eeg_entropy_complexity,8,physio_context_ridge1000,63,11,52,0,-41,0.26728594359413615,0.25149565136134,1.0872398557392489,-0.24025715153583072
valence,eeg_entropy_complexity,8,physio_residual_ridge100,63,10,53,0,-43,0.13763935247427725,0.10353270476336895,0.5392669613093798,-0.14275731179538997
valence,eeg_entropy_complexity,8,physio_residual_ridge1000,63,11,52,0,-41,0.09071471959562456,0.06260115536579858,0.5035848681343478,-0.1311993369676714
valence,eeg_entropy_complexity,8,physio_similarity_knn64,63,16,47,0,-31,0.0841369127984678,0.0642436283861445,0.5750558952668405,-0.09062248279435337
valence,eeg_entropy_complexity,16,physio_context_ridge100,63,7,56,0,-49,0.1793242371236381,0.12755498112951003,0.723801467549278,-0.13969987390417304
valence,eeg_entropy_complexity,16,physio_context_ridge1000,63,7,56,0,-49,0.3044671292413561,0.28787850021695194,1.2528898320922903,-0.13685079358454288
valence,eeg_entropy_complexity,16,physio_residual_ridge100,63,9,54,0,-45,0.17646092215429673,0.12188038252511035,0.656401685963517,-0.13298465986234853
valence,eeg_entropy_complexity,16,physio_residual_ridge1000,63,10,53,0,-43,0.12821401443228447,0.09648961549989943,0.6656129070429738,-0.12301000044872712
valence,eeg_entropy_complexity,16,physio_similarity_knn64,63,14,49,0,-35,0.12159133771419968,0.09685957451244387,0.73526777100169,-0.0791834380728047
