target,feature_block,model,k_calibration,candidate_rmse,locked_B2_k16_rmse,pooled_delta_rmse_candidate_minus_locked_B2,pooled_lift_vs_locked_B2_rmse,subjects_with_pair,mean_delta_rmse_candidate_minus_locked_B2,median_delta_rmse_candidate_minus_locked_B2,ci95_low_mean_delta_candidate_minus_locked_B2,ci95_high_mean_delta_candidate_minus_locked_B2,wins_vs_locked_B2,losses_vs_locked_B2,ties_vs_locked_B2,win_margin_vs_locked_B2,subject_evidence_status,passes_sample_reduction_gate,reason
arousal,eeg_bandpower,physio_context_ridge100,4,2.070850389223088,1.6576672767528169,0.4131831124702712,-0.4131831124702712,63,0.3850922854787565,0.22561387263370314,0.2785702359661482,0.5086220830185189,5,58,0,-53,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,eeg_bandpower,physio_context_ridge100,8,2.0737456210820744,1.6576672767528169,0.4160783443292575,-0.4160783443292575,63,0.38690211895299176,0.2639923100256758,0.2805085016566719,0.5106312974894657,5,58,0,-53,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_bsl_stats_22,physio_context_ridge1000,16,2.526771559995295,1.6576672767528169,0.8691042832424782,-0.8691042832424782,63,0.5051584015352623,0.2805729025410202,0.2746778124969854,0.8911574889345186,6,57,0,-51,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_existing_22,physio_residual_ridge100,8,2.5525650420549364,1.6576672767528169,0.8948977653021195,-0.8948977653021195,63,0.47687436282028417,0.18191066263093858,0.22788690584089163,0.891491494229089,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_existing_22,physio_residual_ridge100,4,2.5895241882917945,1.6576672767528169,0.9318569115389777,-0.9318569115389777,63,0.4853345323372745,0.17461451497424108,0.23184169778211797,0.9139186469618723,7,56,0,-49,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_existing_22,physio_context_ridge100,8,2.613189987481433,1.6576672767528169,0.9555227107286159,-0.9555227107286159,63,0.4894387052424822,0.17334299862814895,0.23021899885217123,0.9171215401819696,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_bsl_stats_22,physio_context_ridge1000,4,2.622819446062586,1.6576672767528169,0.9651521693097693,-0.9651521693097693,63,0.5294037893946877,0.30665901898736436,0.2799009293756356,0.9619378842425195,5,58,0,-53,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_existing_22,physio_residual_ridge100,16,2.636165353854073,1.6576672767528169,0.9784980771012559,-0.9784980771012559,63,0.4958833858951314,0.16731323165913814,0.23247068841461538,0.9488456376216414,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_existing_22,physio_context_ridge100,4,2.653424273588849,1.6576672767528169,0.9957569968360322,-0.9957569968360322,63,0.49807654015195846,0.16747103878800074,0.23327522881558588,0.9570635716405981,8,55,0,-47,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
arousal,emg_bsl_stats_22,physio_context_ridge1000,8,2.6985668930663853,1.6576672767528169,1.0408996163135684,-1.0408996163135684,63,0.5482795059363021,0.31171144479799384,0.2883831138674029,1.0066501808420525,5,58,0,-53,AVAILABLE,False,pooled candidate RMSE is not within +0.020 of locked k=16 B2; bootstrap upper CI for subject delta is not <= +0.020; win margin vs locked B2 is below -3
