target,k_calibration,model,locked_reference_model,subjects,candidate_rmse_pooled,locked_reference_rmse_pooled,pooled_lift_vs_locked_reference_rmse,lift_vs_stimulus_rmse,mean_subject_improvement_locked_minus_model,median_subject_improvement_locked_minus_model,ci95_low_mean_subject_improvement,ci95_high_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric,pearson,spearman,ccc
arousal,1,kernel_residual_shrink4,bias_shrink4,8,2.2393425645361957,2.231847703988458,-0.0074948605477374,0.1764061468853164,-0.005912443566151254,-0.000284995960490142,-0.013594284771769466,-5.794524870678108e-05,0.8991050447477626,3,5,0,-2,0.85546875,False,0.44477088578337,0.4499221130875273,0.3745595731182407
arousal,2,affine_residual_ridge4,bias_shrink4,8,2.074385373955593,2.0619662780881725,-0.012419095867421,0.3335098030970682,0.011767688557914158,-0.029470458975429548,-0.230579337549755,0.26138175573196976,0.45417729113544325,4,4,0,0,0.63671875,False,0.6383215361713857,0.6346051815243062,0.6379536346203558
arousal,4,bias_huber,bias_shrink4,8,1.949682200386181,1.9368991091859824,-0.0127830912001982,0.4525449231517298,-0.0020788669686508665,-0.012675311688915336,-0.10667162178541718,0.10753285798867379,0.5176241187940603,4,4,0,0,0.63671875,False,0.6678705949398861,0.6679736650390751,0.6643358320511339
arousal,4,bias_median,bias_shrink4,8,1.970978856573866,1.9368991091859824,-0.0340797473878835,0.4312482669640445,-0.02187962628745055,-0.04670059228277923,-0.1331586062151106,0.09489015214661997,0.640517974101295,3,5,0,-2,0.85546875,False,0.6621483501203936,0.6612527712007881,0.6590761042260289
arousal,16,bias_shrink8,bias_shrink4,8,1.8402825642773504,1.785586825808255,-0.0546957384690951,0.5998112283537311,-0.05877752310707823,-0.06115699933205576,-0.10779430010741353,-0.013034353225912643,0.9719514024298785,3,5,0,-2,0.85546875,False,0.6732631056965249,0.6703161178252871,0.6144898361136439
arousal,16,kernel_residual_shrink4,bias_shrink4,8,1.8429172981827489,1.785586825808255,-0.0573304723744938,0.5971764944483324,-0.05315076447929945,-0.046231615669362625,-0.11257707234346798,0.008139909062669093,0.9244537773111344,2,6,0,-4,0.96484375,False,0.6740090004866414,0.6709353354140585,0.6024916596209704
arousal,1,bias_shrink8,bias_shrink4,8,2.304331309158867,2.231847703988458,-0.0724836051704089,0.1114174022626448,-0.06550134248303302,-0.06108682829975143,-0.11809193988331149,-0.014055144849677015,0.960401979901005,3,5,0,-2,0.85546875,False,0.3983821864563591,0.3983559444401712,0.3321012841025387
arousal,2,kernel_residual_shrink4,bias_shrink4,8,2.136921654460055,2.0619662780881725,-0.0749553763718826,0.2709735225926066,-0.06899159887547976,-0.04190641017696639,-0.12860405221561755,-0.021971603650933536,0.9965001749912504,1,7,0,-6,0.99609375,False,0.5072382545956354,0.5108073658532934,0.4327124044909139
arousal,8,bias_shrink8,bias_shrink4,8,1.9128075983128217,1.8150233627301429,-0.0977842355826787,0.4950390205846642,-0.09881104229967627,-0.10159876246919275,-0.16971043719390286,-0.031013406850494363,0.9728013599320035,3,5,0,-2,0.85546875,False,0.6345886598542542,0.6300937436706923,0.5606373158054769
arousal,8,kernel_residual_shrink4,bias_shrink4,8,1.928202433549236,1.8150233627301429,-0.1131790708190931,0.4796441853482498,-0.1120514438204927,-0.06293382254161817,-0.19243609811748966,-0.04231461446044925,0.9960501974901255,1,7,0,-6,0.99609375,False,0.627602032266318,0.626963598829507,0.54637676350174
arousal,4,bias_shrink8,bias_shrink4,8,2.0512368729971637,1.9368991091859824,-0.1143377638111808,0.3509902505407472,-0.11233644731904008,-0.1139167750858181,-0.20129843189933838,-0.02911566206078625,0.9723013849307535,3,5,0,-2,0.85546875,False,0.5630850178340514,0.5624253439563208,0.4824230133716809
arousal,2,bias_shrink8,bias_shrink4,8,2.178542739857944,2.0619662780881725,-0.1165764617697711,0.2293524371947182,-0.1092269978222665,-0.10530230641925953,-0.19396820940624768,-0.029154518376696713,0.9723513824308785,3,5,0,-2,0.85546875,False,0.4791904792371969,0.4799693887126721,0.4031512662649407
arousal,4,kernel_residual_shrink4,bias_shrink4,8,2.0634712619176394,1.9368991091859824,-0.126572152731657,0.338755861620271,-0.12259876355833033,-0.07559838356707183,-0.22469803592253,-0.032614411582045415,0.9818509074546272,2,6,0,-4,0.96484375,False,0.5555793394751314,0.5568161129353612,0.4713719754212321
arousal,4,affine_residual_ridge1,bias_shrink4,8,2.07854425274545,1.9368991091859824,-0.1416451435594674,0.3236828707924606,-0.09941550356940976,-0.14746979138505512,-0.34010614550847695,0.15575957708559882,0.7786110694465277,3,5,0,-2,0.85546875,False,0.6268466716877696,0.6258140548222384,0.625396319897366
arousal,1,affine_residual_ridge1,bias_shrink4,8,2.3872122011841665,2.231847703988458,-0.1553644971957086,0.0285365102373451,-0.13870838334938043,-0.14889796319886905,-0.5011672514838664,0.22928569556800832,0.7530123493825309,4,4,0,0,0.63671875,False,0.5430922841899648,0.537215303271091,0.5430521785718597
arousal,1,affine_residual_ridge4,bias_shrink4,8,2.3872122011841665,2.231847703988458,-0.1553644971957086,0.0285365102373451,-0.13870838334938043,-0.14889796319886905,-0.5031919011541985,0.22262508740577172,0.7491625418729063,4,4,0,0,0.63671875,False,0.5430922841899648,0.537215303271091,0.5430521785718597
