target,block,test_subject,k_calibration,repeat,alpha,calibration_n,eval_n,bias_raw,bias_shrink,physio_pred_std_eval
arousal,emg_lagged_interaction_experimental,1,16,1,1000.0,16,16,-0.10416666666666663,-0.08333333333333331,0.005669020741465622
arousal,emg_lagged_interaction_experimental,1,16,2,1000.0,16,16,-1.1666666666666665,-0.9333333333333332,0.0034895106414298276
arousal,emg_lagged_interaction_experimental,1,16,3,1000.0,16,16,-0.7291666666666666,-0.5833333333333334,0.007792915907756662
arousal,emg_lagged_interaction_experimental,1,16,4,1000.0,16,16,0.16666666666666674,0.1333333333333334,0.004741209163202822
arousal,emg_lagged_interaction_experimental,1,16,5,1000.0,16,16,-0.24999999999999994,-0.19999999999999996,0.00683772625901772
arousal,emg_lagged_interaction_experimental,1,16,6,1000.0,16,16,0.2500000000000001,0.2000000000000001,0.006979369464490761
arousal,emg_lagged_interaction_experimental,1,16,7,1000.0,16,16,-0.6041666666666666,-0.48333333333333334,0.006917050576039361
arousal,emg_lagged_interaction_experimental,1,16,8,1000.0,16,16,-0.7291666666666666,-0.5833333333333334,0.007576408570713285
arousal,emg_lagged_interaction_experimental,1,16,9,1000.0,16,16,-1.6458333333333333,-1.3166666666666667,0.00479074192015264
arousal,emg_lagged_interaction_experimental,1,16,10,1000.0,16,16,-0.75,-0.6000000000000001,0.004734291651127919
arousal,emg_lagged_interaction_experimental,1,16,11,1000.0,16,16,-0.24999999999999997,-0.19999999999999998,0.005873619389918991
arousal,emg_lagged_interaction_experimental,1,16,12,1000.0,16,16,-0.4791666666666665,-0.38333333333333325,0.00826516627968933
arousal,emg_lagged_interaction_experimental,1,16,13,1000.0,16,16,-0.6458333333333333,-0.5166666666666666,0.007242007653665858
arousal,emg_lagged_interaction_experimental,1,16,14,1000.0,16,16,-1.2916666666666667,-1.0333333333333334,0.005818468237474202
arousal,emg_lagged_interaction_experimental,1,16,15,1000.0,16,16,-0.3333333333333333,-0.26666666666666666,0.005010812785476399
arousal,emg_lagged_interaction_experimental,1,16,16,1000.0,16,16,-0.08333333333333337,-0.0666666666666667,0.005940130399730809
arousal,emg_lagged_interaction_experimental,1,16,17,1000.0,16,16,-0.4375,-0.35000000000000003,0.005556991944047848
arousal,emg_lagged_interaction_experimental,1,16,18,1000.0,16,16,-1.2291666666666667,-0.9833333333333334,0.005578730078919729
arousal,emg_lagged_interaction_experimental,1,16,19,1000.0,16,16,-0.7499999999999998,-0.5999999999999999,0.0056787377006712715
arousal,emg_lagged_interaction_experimental,2,0,0,1000.0,0,32,0.0,0.0,0.025480536487200302
arousal,emg_lagged_interaction_experimental,2,4,0,1000.0,4,28,1.7500000000000002,0.8750000000000001,0.02563313900068913
arousal,emg_lagged_interaction_experimental,2,4,1,1000.0,4,28,1.5,0.75,0.027088574396940193
arousal,emg_lagged_interaction_experimental,2,4,2,1000.0,4,28,2.833333333333333,1.4166666666666665,0.02626683405350636
arousal,emg_lagged_interaction_experimental,2,4,3,1000.0,4,28,1.4166666666666665,0.7083333333333333,0.023622173147093403
arousal,emg_lagged_interaction_experimental,2,4,4,1000.0,4,28,1.833333333333333,0.9166666666666665,0.02202301368970444
