target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,accuracy,balanced_accuracy,macro_f1,auroc
arousal,global_mean,2,32,2.846616683467742,3.2052219760867118,,,0.0,0.3125,0.5,0.23809523809523808,0.5
arousal,global_mean,3,32,1.580078125,1.9774732338580465,,,0.0,0.96875,0.5,0.49206349206349204,0.5
arousal,global_mean,5,32,1.9890372983870968,2.2668155264885765,,,0.0,0.4375,0.5,0.30434782608695654,0.5
arousal,global_mean,6,32,3.369707661290323,3.5585768282649024,,,0.0,0.0625,0.5,0.058823529411764705,0.5
arousal,global_mean,7,32,1.212197580645161,1.3840957079335527,,,0.0,1.0,1.0,0.5,
arousal,global_mean,8,32,2.476278981854839,2.690383546176372,,,0.0,0.75,0.5,0.42857142857142855,0.5
arousal,global_mean,9,32,1.8595010080645162,2.2266954070862783,,,0.0,0.46875,0.5,0.3191489361702128,0.5
arousal,global_mean,10,32,2.2456212197580645,2.5699893114350396,,,0.0,0.65625,0.5,0.39622641509433965,0.5
arousal,global_mean,11,32,1.6572265625,2.014170987186788,,,0.0,0.59375,0.5,0.37254901960784315,0.5
arousal,global_mean,12,32,0.9562436995967742,1.265939705031343,,,0.0,0.71875,0.5,0.41818181818181815,0.5
arousal,global_mean,13,32,2.0468119959677415,2.324867845122541,,,0.0,1.0,1.0,0.5,
arousal,global_mean,14,32,2.020728326612903,2.2790156731847806,,,0.0,0.9375,0.5,0.4838709677419355,0.5
arousal,global_mean,15,32,1.9967552923387097,2.270657267000855,,,0.0,0.6875,0.5,0.4074074074074074,0.5
arousal,global_mean,16,32,2.097498739919355,2.4613699412968146,,,0.0,0.71875,0.5,0.41818181818181815,0.5
arousal,global_mean,17,32,2.127520161290323,2.449121942230773,,,0.0,0.78125,0.5,0.43859649122807015,0.5
arousal,global_mean,18,32,2.775264616935484,3.0360671228017635,,,0.0,0.5,0.5,0.3333333333333333,0.5
arousal,global_mean,19,32,1.998204385080645,2.250170318970611,,,0.0,0.4375,0.5,0.30434782608695654,0.5
arousal,global_mean,20,32,2.070280997983871,2.37309954505045,,,0.0,0.4375,0.5,0.30434782608695654,0.5
arousal,global_mean,21,32,2.3148311491935485,2.7457973204541166,,,0.0,0.71875,0.5,0.41818181818181815,0.5
arousal,global_mean,22,32,2.87175529233871,3.077074003689835,,,0.0,0.6875,0.5,0.4074074074074074,0.5
arousal,global_mean,23,32,1.8510584677419355,2.277542361089179,,,0.0,0.59375,0.5,0.37254901960784315,0.5
arousal,global_mean,24,32,2.358366935483871,2.7070074331216873,,,0.0,0.65625,0.5,0.39622641509433965,0.5
arousal,global_mean,25,32,2.702242943548387,3.0419529368732077,,,0.0,0.65625,0.5,0.39622641509433965,0.5
arousal,global_mean,26,32,2.4351688508064515,2.667763131647398,,,0.0,0.75,0.5,0.42857142857142855,0.5
arousal,global_mean,27,32,1.5,1.8765180536326826,,,0.0,0.59375,0.5,0.37254901960784315,0.5
arousal,global_mean,28,32,2.444556451612903,2.622324400745861,,,0.0,0.75,0.5,0.42857142857142855,0.5
arousal,global_mean,29,32,1.9112588205645162,2.1432182399801922,,,0.0,0.6875,0.5,0.4074074074074074,0.5
arousal,global_mean,30,32,1.7331149193548387,2.071087377445241,,,0.0,0.6875,0.5,0.4074074074074074,0.5
arousal,global_mean,31,32,3.025642641129032,3.3426799568775576,,,0.0,0.53125,0.5,0.3469387755102041,0.5
arousal,global_mean,32,32,1.663243447580645,1.9876870450445943,,,0.0,0.6875,0.5,0.4074074074074074,0.5
arousal,global_mean,33,32,1.4861391129032258,1.7903926783538056,,,0.0,0.875,0.5,0.4666666666666667,0.5
arousal,global_mean,34,32,2.110131048387097,2.4195881523925165,,,0.0,0.71875,0.5,0.41818181818181815,0.5
arousal,global_mean,35,32,1.34375,1.604835860246295,,,0.0,0.71875,0.5,0.41818181818181815,0.5
arousal,global_mean,36,32,2.275138608870968,2.610799960013736,,,0.0,0.59375,0.5,0.37254901960784315,0.5
arousal,global_mean,37,32,1.2621597782258065,1.4192196062833728,,,0.0,0.6875,0.5,0.4074074074074074,0.5
arousal,global_mean,38,32,1.774382560483871,1.9938777776904923,,,0.0,0.625,0.5,0.38461538461538464,0.5
arousal,global_mean,39,32,2.649571572580645,2.975635533326995,,,0.0,0.71875,0.5,0.41818181818181815,0.5
arousal,global_mean,40,32,3.007970010080645,3.245736731974559,,,0.0,0.46875,0.5,0.3191489361702128,0.5
arousal,global_mean,41,32,1.964213709677419,2.1283821314051496,,,0.0,1.0,1.0,0.5,
arousal,global_mean,42,32,2.751449092741935,3.062593405475279,,,0.0,0.3125,0.5,0.23809523809523808,0.5
arousal,global_mean,43,32,2.6875,3.007049228211994,,,0.0,0.6875,0.5,0.4074074074074074,0.5
arousal,global_mean,44,32,2.641507056451613,2.8558509107066135,,,0.0,0.6875,0.5,0.4074074074074074,0.5
arousal,global_mean,45,32,1.4622605846774195,1.7105611048602116,,,0.0,0.65625,0.5,0.39622641509433965,0.5
arousal,global_mean,46,32,1.6945564516129032,1.8877686975811199,,,0.0,0.625,0.5,0.38461538461538464,0.5
arousal,global_mean,47,32,2.563319052419355,2.8580609534834527,,,0.0,0.53125,0.5,0.3469387755102041,0.5
arousal,global_mean,48,32,1.84375,2.150853471431078,,,0.0,0.65625,0.5,0.39622641509433965,0.5
arousal,global_mean,49,32,1.9488407258064515,2.174903340275642,,,0.0,0.96875,0.5,0.49206349206349204,0.5
arousal,global_mean,50,32,2.363029233870968,2.6486580079308215,,,0.0,0.625,0.5,0.38461538461538464,0.5
arousal,global_mean,52,32,1.8562563004032258,2.1886304705853945,,,0.0,0.5625,0.5,0.36,0.5
arousal,global_mean,53,32,1.988344254032258,2.2133981929487763,,,0.0,0.6875,0.5,0.4074074074074074,0.5
arousal,global_mean,54,32,1.92351310483871,2.1967930692348134,,,0.0,0.65625,0.5,0.39622641509433965,0.5
arousal,global_mean,55,32,2.373046875,2.566117872877238,,,0.0,1.0,1.0,0.5,
arousal,global_mean,56,32,2.21875,2.5353812588892106,,,0.0,0.5625,0.5,0.36,0.5
