target,k_calibration,model,subject_id,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,residual_rmse,residual_mae
arousal,0,stimulus_only,31,32,2.011592741935484,2.3482477221801465,0.7902383180113697,0.7692709474610178,0.6000188698437783,5.125,3.2379584617471546,4.294858870967742,1.6164187210941403,0.8301411290322582,2.1966185537351026,2.3482477221801465,2.011592741935484
arousal,0,stimulus_only,32,32,1.0398185483870965,1.2891028761453294,0.7650874662357704,0.7299560016483684,0.7489324319303492,4.4375,1.9833289565778038,4.305947580645162,1.6333954482244362,0.13155241935483866,1.2823728733282098,1.2891028761453294,1.0398185483870965
arousal,0,stimulus_only,33,32,1.466733870967742,1.7088498453534822,0.5550418725169379,0.5846336260080733,0.5055267984077094,3.59375,1.6366767968966873,4.319556451612903,1.6432005111397983,-0.7258064516129032,1.5470529366384678,1.7088498453534822,1.466733870967742
arousal,0,stimulus_only,34,32,1.1975806451612905,1.370932162726182,0.8577420069249222,0.8685966040979513,0.7787625418460267,3.84375,2.373148949707961,4.315524193548387,1.625049714580117,-0.4717741935483871,1.287200102975002,1.370932162726182,1.1975806451612905
arousal,0,stimulus_only,35,32,1.1804435483870968,1.552764938493383,0.5524171309417635,0.5261720678869681,0.5431462971770319,4.59375,1.5783570373967988,4.303427419354838,1.6437990362349817,0.29032258064516125,1.5253824941246354,1.552764938493383,1.1804435483870968
arousal,0,stimulus_only,36,32,1.3986895161290323,1.6137422213029615,0.8281688496029959,0.8377729054559818,0.7245168899845159,4.875,2.54644359843292,4.298891129032258,1.6238238378140812,0.576108870967742,1.5074025758264082,1.6137422213029615,1.3986895161290323
arousal,0,stimulus_only,37,32,1.2988911290322582,1.579093729239403,0.503569928255726,0.5396798441611068,0.47245173851424793,4.75,1.346291201783626,4.300907258064516,1.6469570832960136,0.4490927419354839,1.513886625498777,1.579093729239403,1.2988911290322582
arousal,0,stimulus_only,38,32,1.1134072580645162,1.3992196939083654,0.7229243531153058,0.719878752428922,0.7054957767595205,4.5,1.984313483298443,4.304939516129032,1.6347132227835457,0.19506048387096772,1.3855566244123854,1.3992196939083654,1.1134072580645162
arousal,0,stimulus_only,39,32,1.719758064516129,2.042019248651355,0.7676405249461905,0.6309757579971604,0.6368732990294124,3.84375,2.9379986278928043,4.315524193548388,1.621343528399755,-0.47177419354838707,1.9867742000953235,2.042019248651355,1.719758064516129
arousal,0,stimulus_only,40,32,2.4994959677419355,2.919191928710636,0.4684225945889068,0.5149480612492227,0.35470059556770084,5.375,3.059309562630104,4.290826612903226,1.6343109757994334,1.0841733870967742,2.710396573079377,2.919191928710636,2.4994959677419355
arousal,0,stimulus_only,41,32,2.0055443548387095,2.4690247430071826,0.4297075601558554,0.44572460955923554,0.16032139639803564,2.375,0.81967981553775,4.33921370967742,1.6522739410377567,-1.9642137096774193,1.4959771670373037,2.4690247430071826,2.0055443548387095
arousal,0,stimulus_only,42,32,2.253024193548387,2.6523340250498326,0.6793976578000543,0.7004036165494839,0.41601257264235547,6.34375,2.2584476831443316,4.275201612903226,1.633034336140881,2.0685483870967745,1.660115463055621,2.6523340250498326,2.253024193548387
arousal,0,stimulus_only,43,32,1.5972782258064515,1.8068903377094594,0.8638948839185943,0.8256486416701168,0.7198429220667221,4.1875,3.0045538354304786,4.309979838709678,1.6159534382778398,-0.12247983870967742,1.802734417937777,1.8068903377094594,1.5972782258064515
arousal,0,stimulus_only,44,32,1.9823588709677418,2.461961855606203,0.5186399224228903,0.4016332543886638,0.4401171305273597,3.8125,2.8111107680061274,4.316028225806452,1.6340292818038096,-0.5035282258064517,2.4099202277826843,2.461961855606203,1.9823588709677418
arousal,0,stimulus_only,45,32,1.142641129032258,1.5219490856302587,0.6039531069248716,0.6180331561745381,0.5879117283252021,4.6875,1.6665364532466729,4.301915322580645,1.6416254815754825,0.38558467741935476,1.4722953086219464,1.5219490856302587,1.142641129032258
arousal,0,stimulus_only,46,32,1.4858870967741935,1.9311611674675555,0.40967788010441525,0.47740043487674816,0.4052697355797902,4.40625,1.885128891481959,4.306451612903226,1.645309528425829,0.09979838709677419,1.9285807571028841,1.9311611674675555,1.4858870967741935
arousal,0,stimulus_only,47,32,2.015120967741935,2.441804445284562,0.5370668726263562,0.48073748385981624,0.4498019813307133,4.96875,2.7780880903059932,4.297379032258065,1.6335022188213828,0.6713709677419355,2.3476946080537613,2.441804445284562,2.015120967741935
arousal,0,stimulus_only,48,32,1.0493951612903225,1.3047018848475163,0.7967730533808148,0.8373097283165034,0.7663000654033917,4.40625,2.1485369295173866,4.306451612903226,1.6302544520914506,0.09979838709677409,1.300879429561996,1.3047018848475163,1.0493951612903225
arousal,0,stimulus_only,49,32,2.065524193548387,2.3836409706151227,0.3876173089081509,0.3433325205976194,0.23736424177812304,2.65625,1.3831434985206705,4.334677419354839,1.6492231245869118,-1.6784274193548387,1.692520509403907,2.3836409706151227,2.065524193548387
arousal,0,stimulus_only,50,32,1.2056451612903225,1.3913277090479512,0.8978581496271996,0.8873978486220416,0.7991559451798751,4.28125,2.6485181588012567,4.308467741935484,1.6195365110629563,-0.027217741935483958,1.3910614610751582,1.3913277090479512,1.2056451612903225
arousal,0,stimulus_only,52,32,1.702116935483871,2.018432152260223,0.48814867280672436,0.5170577002309656,0.45554964967120937,4.8125,2.1277555663186503,4.299899193548386,1.6409747657491789,0.5126008064516129,1.9522573515044046,2.018432152260223,1.702116935483871
arousal,0,stimulus_only,53,32,0.8991935483870968,1.1178085559441453,0.8850872703819913,0.8781714645299696,0.8344007548493225,3.96875,2.1863836437139756,4.313508064516128,1.6267047484545685,-0.34475806451612906,1.0633145558549586,1.1178085559441453,0.8991935483870968
arousal,0,stimulus_only,54,32,1.4773185483870968,1.6993827114266937,0.6430736368541089,0.6790974821338142,0.614906902997159,4.4375,2.1928505991061042,4.305947580645162,1.6350320901614837,0.13155241935483875,1.6942831997212953,1.6993827114266937,1.4773185483870968
