target,quantile,feature_block,model,subject_id,baseline_residual_rmse,model_residual_rmse,improvement_baseline_minus_model,delta_rmse_model_minus_baseline
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,12,2.1754571006911685,2.1820777540781418,-0.006620653386973263,0.006620653386973263
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,13,1.7465217403130304,1.7383590297343041,0.008162710578726307,-0.008162710578726307
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,14,1.833088937766916,1.8881505172550443,-0.0550615794881284,0.0550615794881284
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,15,1.8935305269257172,1.878712810136967,0.014817716788750213,-0.014817716788750213
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,16,2.0397434258135254,2.021558129982993,0.01818529583053241,-0.01818529583053241
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,17,1.9220806071967729,1.8949945079972115,0.027086099199561398,-0.027086099199561398
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,18,2.751052206232225,2.7429685633154084,0.008083642916816736,-0.008083642916816736
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,19,2.4451618982769814,2.4171264091444282,0.02803548913255316,-0.02803548913255316
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,2,2.481282690005539,2.4943041098168917,-0.01302141981135252,0.01302141981135252
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,20,2.0915256892127423,2.077638276391143,0.01388741282159911,-0.01388741282159911
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,21,1.73744942058003,1.7454784008897328,-0.008028980309702893,0.008028980309702893
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,22,1.8520861608425905,1.8605396458228314,-0.0084534849802409,0.0084534849802409
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,23,1.94616675452552,1.9207514030045127,0.025415351521007157,-0.025415351521007157
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,24,2.231419212762824,2.24405885050191,-0.012639637739086051,0.012639637739086051
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,25,2.388926935732106,2.377765707375594,0.011161228356512343,-0.011161228356512343
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,26,2.2529896890624803,2.2600588100906864,-0.007069121028206116,0.007069121028206116
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,27,2.2655549726340904,2.2849167566656132,-0.019361784031522777,0.019361784031522777
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,28,2.541957998917808,2.5430372095879594,-0.001079210670151376,0.001079210670151376
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,29,2.066657155942445,2.0477740334272148,0.018883122515230166,-0.018883122515230166
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,3,1.7850929869069192,1.7108821419930875,0.07421084491383168,-0.07421084491383168
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,30,1.6458858830197465,1.653919411287761,-0.008033528268014622,0.008033528268014622
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,31,2.2526597595442497,2.2760401003978807,-0.023380340853631054,0.023380340853631054
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,32,1.9906649990386385,1.9811772850304878,0.009487714008150627,-0.009487714008150627
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,33,1.5599784544524575,1.4665217579510355,0.09345669650142208,-0.09345669650142208
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,34,2.0513002583669584,2.010122061329724,0.041178197037234465,-0.041178197037234465
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,35,1.6819495278872196,1.6489797921972584,0.0329697356899612,-0.0329697356899612
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,36,1.7283778595177892,1.7345554528561906,-0.006177593338401399,0.006177593338401399
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,37,1.6894043854886864,1.6385137442578908,0.050890641230795675,-0.050890641230795675
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,38,2.0861209441794744,2.0945638448458004,-0.008442900666326025,0.008442900666326025
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,39,2.096195122685162,2.0857255849191603,0.010469537766001569,-0.010469537766001569
