repetition,role,task,label_policy,region,aggregation,baseline,n,low,high,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss,cell_balanced_accuracy_mean,cell_balanced_accuracy_std
3,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1161,855,0.5327380952380952,0.5237227435513849,0.5235472631224007,0.5011378575638062,0.30786479145645895,0.9012317698860434,0.6009535347241818,0.0445727511692565
3,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1161,855,0.5753968253968254,0.5820300104265832,0.5745489078822412,0.5804801265293581,0.25247692465552163,0.7108646883845432,0.6436070220508012,0.06661704468721136
4,sensitivity,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,global_train_prior,1799,1112,687,0.6181211784324625,0.5,0.38199931295087597,0.3791940246929094,0.24830916580457602,0.6905585831759835,0.5,0.0
4,sensitivity,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,order_bin_prior,1799,1112,687,0.5964424680377988,0.5397653492926183,0.5334583565519311,0.5770724032128008,0.25635091607428667,0.7290121160831697,0.5529941013491413,0.04609059696577501
4,sensitivity,arousal,discard_midpoint,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,1799,1112,687,0.6653696498054474,0.6277875079848785,0.6304507758159443,0.672028970709895,0.21347644282855416,0.6189386892800711,0.6209776498089438,0.08578822522706668
4,sensitivity,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1112,904,0.4305555555555556,0.4037371872413573,0.37357954545454547,0.3811636531482778,0.25782069059378393,0.7089528692791925,0.5,0.0
4,sensitivity,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1112,904,0.5396825396825397,0.530177627809257,0.5295405166170435,0.5614256382504614,0.2648231441524281,0.7395489830991039,0.525850906555507,0.059997032200995
4,sensitivity,arousal,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1112,904,0.6344246031746031,0.6195764627236264,0.6179201505903651,0.6623554585535112,0.22770976129115567,0.6472430785218051,0.6130188358835429,0.07357898092160084
4,sensitivity,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1329,687,0.6592261904761905,0.5,0.39730941704035877,0.3886424547902955,0.2341800338856617,0.6622995413079016,0.5,0.0
4,sensitivity,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1329,687,0.6463293650793651,0.557721437466526,0.5535577127647184,0.5798944823952956,0.2402118080115688,0.6880604994825937,0.5367617915737211,0.04664468955751636
4,sensitivity,arousal,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1329,687,0.6889880952380952,0.5942955434857611,0.5924968446707577,0.6510892934789158,0.20722171763650543,0.6063824822421806,0.5677255969840497,0.09232441176299955
4,sensitivity,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,global_train_prior,1667,812,855,0.38032393521295743,0.3736712470832253,0.33254689099459567,0.34570838014576666,0.26745682152268924,0.7282725804817421,0.5,0.0
4,sensitivity,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,order_bin_prior,1667,812,855,0.4391121775644871,0.4409219888802466,0.43716699436858253,0.4573099415204679,0.3530744307447718,1.0649735385673693,0.4795471647842934,0.18339600635319472
4,sensitivity,valence,discard_midpoint,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,1667,812,855,0.6640671865626875,0.6609944401232968,0.6577202862841722,0.6885770460634344,0.23026381787225314,0.6728866258335069,0.6473329808726576,0.14246097853739717
4,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,global_train_prior,2016,812,1204,0.5972222222222222,0.5,0.3739130434782609,0.3678624617449225,0.25324542545674505,0.7002124345026479,0.5,0.0
4,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,812,1204,0.5401785714285714,0.5053700309313782,0.5018805765271105,0.4376933211135296,0.33537371921696757,0.9724091946055365,0.5556910656241679,0.1405334153764987
4,sensitivity,valence,midpoint_as_high,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,812,1204,0.6626984126984127,0.6360121434299462,0.6380591301041827,0.6856199777425004,0.2194204455856696,0.6346113385733166,0.640126387759725,0.11468412889433799
4,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,global_train_prior,2016,1161,855,0.5758928571428571,0.5,0.3654390934844193,0.3668177765688985,0.2559958656478325,0.7060507661132801,0.5,0.0
4,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_bin_prior,2016,1161,855,0.4439484126984127,0.4159617389727549,0.40765794160547586,0.4378741858954017,0.3209835916933058,0.9620808936789463,0.43711608986095646,0.1454558993749128
4,sensitivity,valence,midpoint_as_low,primary_test,pooled_unique_physical_trials,order_quadratic_logistic,2016,1161,855,0.6091269841269841,0.5861915771340496,0.5852198433420366,0.6173494315749177,0.2436052130940477,0.6946946265074851,0.612354556976421,0.03976069426640937
0,primary,arousal,discard_midpoint,seen_subject_unseen_stimulus,macro_mean_across_overlapping_cells,global_train_prior,5397,3336,2061,0.6210217568985694,0.5,0.3789221611017548,0.5,0.24899695996164395,0.6924021793401428,0.5,0.0
0,primary,arousal,discard_midpoint,seen_subject_unseen_stimulus,macro_mean_across_overlapping_cells,subject_prior,5397,3336,2061,0.6469383140751175,0.6116050296011536,0.5689088794207358,0.712352213223042,0.22037654628309458,0.6259666956847358,0.6116050296011536,0.05686363347994879
0,primary,arousal,discard_midpoint,unseen_subject_seen_stimulus,macro_mean_across_overlapping_cells,global_train_prior,5397,3336,2061,0.6176425739477316,0.5,0.3808850278263479,0.5,0.2357733689334218,0.6644020341881989,0.5,0.0
0,primary,arousal,discard_midpoint,unseen_subject_seen_stimulus,macro_mean_across_overlapping_cells,stimulus_prior,5397,3336,2061,0.809414004457784,0.7804519308013689,0.7858430522237958,0.8525573063105365,0.14554138231346248,0.4619914050149484,0.7804519308013689,0.04029403408331272
0,primary,arousal,midpoint_as_high,seen_subject_unseen_stimulus,macro_mean_across_overlapping_cells,global_train_prior,6048,3336,2712,0.5009419326241135,0.5,0.32950130522055054,0.5,0.2558894682325221,0.7051314318120061,0.5,0.0
0,primary,arousal,midpoint_as_high,seen_subject_unseen_stimulus,macro_mean_across_overlapping_cells,subject_prior,6048,3336,2712,0.6181294326241136,0.6298701347254385,0.6039656440046972,0.6909908724709743,0.23112953265173564,0.6523597743788261,0.6298701347254385,0.044786539577297384
0,primary,arousal,midpoint_as_high,unseen_subject_seen_stimulus,macro_mean_across_overlapping_cells,global_train_prior,6048,3336,2712,0.5402994791666667,0.5,0.3494099918122372,0.5,0.24817599528255402,0.6895342577214455,0.5,0.0
0,primary,arousal,midpoint_as_high,unseen_subject_seen_stimulus,macro_mean_across_overlapping_cells,stimulus_prior,6048,3336,2712,0.7583767361111111,0.744297331306591,0.743029286445821,0.8219507191835853,0.1712285882331152,0.5213650644937579,0.744297331306591,0.043496944105917326
0,primary,arousal,midpoint_as_low,seen_subject_unseen_stimulus,macro_mean_across_overlapping_cells,global_train_prior,6048,3987,2061,0.6592350953014184,0.5,0.3938334933956818,0.5,0.236981576593227,0.6688872546424647,0.5,0.0
0,primary,arousal,midpoint_as_low,seen_subject_unseen_stimulus,macro_mean_across_overlapping_cells,subject_prior,6048,3987,2061,0.6671861148049646,0.5738064644209273,0.5225763927775547,0.6854607390676524,0.21533650257806108,0.615268339345945,0.5738064644209273,0.04642400005370517
0,primary,arousal,midpoint_as_low,unseen_subject_seen_stimulus,macro_mean_across_overlapping_cells,global_train_prior,6048,3987,2061,0.6593098958333333,0.5,0.3967051250100211,0.5,0.22371972408226137,0.6394850430819661,0.5,0.0
0,primary,arousal,midpoint_as_low,unseen_subject_seen_stimulus,macro_mean_across_overlapping_cells,stimulus_prior,6048,3987,2061,0.8012369791666667,0.7643293847050526,0.7688278910862115,0.8212534106837546,0.15345325834560297,0.4791667245211413,0.7643293847050526,0.03885222118157204
0,primary,valence,discard_midpoint,seen_subject_unseen_stimulus,macro_mean_across_overlapping_cells,global_train_prior,5001,2436,2565,0.41928691819281283,0.5,0.2938841159882794,0.5,0.2584975810159118,0.7101955140795803,0.5,0.0
0,primary,valence,discard_midpoint,seen_subject_unseen_stimulus,macro_mean_across_overlapping_cells,subject_prior,5001,2436,2565,0.48451235489276495,0.5285134602641706,0.4710379023923066,0.5447974971560197,0.2574297590916844,0.7082936905288607,0.5285134602641706,0.012094294989928136
0,primary,valence,discard_midpoint,unseen_subject_seen_stimulus,macro_mean_across_overlapping_cells,global_train_prior,5001,2436,2565,0.5359914922750186,0.5,0.3488329681399179,0.5,0.24879569285564213,0.6907375455410824,0.5,0.0
0,primary,valence,discard_midpoint,unseen_subject_seen_stimulus,macro_mean_across_overlapping_cells,stimulus_prior,5001,2436,2565,0.9560126647876124,0.9553904662552748,0.9556636854911823,0.9834265976654024,0.04292281075134706,0.18805698732147486,0.9553904662552748,0.012001710663127023
