summary_type,repetition,role,task,policy,region,baseline,n,accuracy,balanced_accuracy,macro_f1,roc_auc,brier,log_loss,cell_balanced_accuracy_mean,cell_balanced_accuracy_std,cell_roc_auc_mean,cell_count
macro_outer_cells_overlapping_regions,0,primary,valence,midpoint_as_high,seen_subject_unseen_stimulus,subject_prior,3840,0.5390625,0.517669206732038,0.4632021404966506,0.5515001013093838,0.25112064395882494,0.6959246216472573,0.517669206732038,0.023500870808230358,0.5515001013093838,16
macro_outer_cells_overlapping_regions,0,primary,valence,midpoint_as_high,unseen_subject_seen_stimulus,global_train_prior,3840,0.565625,0.5,0.36083181346401083,0.5,0.24542920524691358,0.683980966383776,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,0,primary,valence,midpoint_as_high,unseen_subject_seen_stimulus,stimulus_prior,3840,0.7796875000000001,0.7755651808017938,0.7742611055237956,0.8406300899399544,0.16108106071566358,0.4986288524765178,0.7755651808017938,0.037950766828965185,0.8406300899399544,16
macro_outer_cells_overlapping_regions,0,primary,valence,midpoint_as_low,seen_subject_unseen_stimulus,global_train_prior,3840,0.53125,0.5,0.3441261850713615,0.5,0.2534141107253086,0.7000954022567236,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,0,primary,valence,midpoint_as_low,seen_subject_unseen_stimulus,subject_prior,3840,0.5255208333333332,0.5231278270869844,0.47821821512474577,0.552709624390313,0.2522696780633357,0.6980774718603979,0.5231278270869844,0.016131157725586813,0.552709624390313,16
macro_outer_cells_overlapping_regions,0,primary,valence,midpoint_as_low,unseen_subject_seen_stimulus,global_train_prior,3840,0.5453125,0.5,0.3520747739566343,0.5,0.24729865933641976,0.6877463014108031,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,0,primary,valence,midpoint_as_low,unseen_subject_seen_stimulus,stimulus_prior,3840,0.771875,0.7733524778194873,0.7690857537431457,0.8391690242028491,0.16259773160204477,0.5027945083782633,0.7733524778194873,0.03310168680959795,0.8391690242028491,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,discard_midpoint,seen_subject_unseen_stimulus,global_train_prior,3789,0.5834739790611496,0.5,0.3681050892035137,0.5,0.2441547364782479,0.6814562393134517,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,discard_midpoint,seen_subject_unseen_stimulus,subject_prior,3789,0.6196055833468609,0.5828701761794888,0.5719023843363313,0.6340609693139081,0.23101060973337914,0.6542491983341132,0.5828701761794888,0.024910130070217622,0.6340609693139081,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,discard_midpoint,unseen_subject_seen_stimulus,global_train_prior,3789,0.5834904114879125,0.5,0.36838013287423865,0.5,0.24307643912866903,0.6792377294850759,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,discard_midpoint,unseen_subject_seen_stimulus,stimulus_prior,3789,0.6613413488930235,0.6343995090943044,0.6342865084505416,0.6743188026491813,0.22046910939565673,0.6327003672080295,0.6343995090943044,0.03776729340334623,0.6743188026491813,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,midpoint_as_high,seen_subject_unseen_stimulus,global_train_prior,3840,0.5890625,0.5,0.37034923556859556,0.5,0.24313126929012346,0.6793954488316677,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,midpoint_as_high,seen_subject_unseen_stimulus,subject_prior,3840,0.6234375,0.579678829515624,0.5676009105000593,0.6332386647832892,0.23057494186245342,0.6533900582101191,0.579678829515624,0.02337302711888873,0.6332386647832892,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,midpoint_as_high,unseen_subject_seen_stimulus,global_train_prior,3840,0.5890625,0.5,0.37060479726924495,0.5,0.24210262345679012,0.6772703703317963,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,midpoint_as_high,unseen_subject_seen_stimulus,stimulus_prior,3840,0.6625000000000001,0.6337288826605125,0.6341737555451354,0.6712786813017992,0.22021134741512347,0.6322580109941633,0.6337288826605125,0.03616409579608597,0.6712786813017992,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,midpoint_as_low,seen_subject_unseen_stimulus,global_train_prior,3840,0.5757812499999999,0.5,0.36500686440738955,0.5,0.24539894386574077,0.6839543294518329,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,midpoint_as_low,seen_subject_unseen_stimulus,subject_prior,3840,0.61171875,0.5831768033289133,0.5763464161131604,0.6325024082750375,0.23226399789678875,0.656766495463068,0.5831768033289133,0.03183563735844103,0.6325024082750375,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,midpoint_as_low,unseen_subject_seen_stimulus,global_train_prior,3840,0.57578125,0.5,0.3652756347601241,0.5,0.24433991608796302,0.6817869964215696,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,arousal,midpoint_as_low,unseen_subject_seen_stimulus,stimulus_prior,3840,0.65546875,0.6315486383597728,0.6308107199403032,0.672383802785996,0.22239635326244211,0.6366130714632441,0.6315486383597728,0.036047689227783626,0.672383802785996,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,discard_midpoint,seen_subject_unseen_stimulus,global_train_prior,3792,0.5603523975838911,0.5,0.3561381079942968,0.5,0.2549849645611778,0.7034120437132513,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,discard_midpoint,seen_subject_unseen_stimulus,subject_prior,3792,0.5128159910384883,0.5222523030725494,0.46195722234473346,0.5480210945041757,0.25503188079470795,0.7036583889250285,0.5222523030725494,0.026359940444637305,0.5480210945041757,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,discard_midpoint,unseen_subject_seen_stimulus,global_train_prior,3792,0.5600879600345873,0.5,0.35849174915996457,0.5,0.24573130288630665,0.6845800607868588,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,discard_midpoint,unseen_subject_seen_stimulus,stimulus_prior,3792,0.7776219424528197,0.7722547586940209,0.7721133228388747,0.8466370307222767,0.1602863532739515,0.49688617791177914,0.7722547586940209,0.03296676917946534,0.8466370307222767,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,midpoint_as_high,seen_subject_unseen_stimulus,global_train_prior,3840,0.565625,0.5,0.3583404904340157,0.5,0.25427348572530867,0.7020311779843103,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,midpoint_as_high,seen_subject_unseen_stimulus,subject_prior,3840,0.5140625,0.5129712787056808,0.45724697508878187,0.548466749714545,0.25424898900516396,0.702128336305895,0.5129712787056808,0.027614699192120437,0.548466749714545,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,midpoint_as_high,unseen_subject_seen_stimulus,global_train_prior,3840,0.565625,0.5,0.3607838971147803,0.5,0.244989631558642,0.6830837393018225,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,midpoint_as_high,unseen_subject_seen_stimulus,stimulus_prior,3840,0.775,0.7692727145964937,0.7690415259532819,0.8429544851316351,0.1617983066888503,0.5001575003393771,0.7692727145964937,0.03602645174582073,0.8429544851316351,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,midpoint_as_low,seen_subject_unseen_stimulus,global_train_prior,3840,0.5307291666666667,0.5,0.34315385140164517,0.5,0.2553937596450617,0.7041637626373304,0.5,0.0,0.5,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,midpoint_as_low,seen_subject_unseen_stimulus,subject_prior,3840,0.5104166666666667,0.5247281455633096,0.47221513185493347,0.5459018006119101,0.25560833889059886,0.7047601002692929,0.5247281455633096,0.026198529398759936,0.5459018006119101,16
macro_outer_cells_overlapping_regions,1,sensitivity,valence,midpoint_as_low,unseen_subject_seen_stimulus,global_train_prior,3840,0.5479166666666666,0.5,0.353294103087907,0.5,0.24662639853395063,0.6863834100692969,0.5,0.0,0.5,16
